name,team,shirtNo,photo,playerId,fotmob_player_id,Assists,xA,key_passes,final_third_passes,penalty_box_passes,prog_passes,xG,Goals,Shots,SCA,GCA,defensive_actions,final_third_entries,penalty_box_entries,prog_carries,minutes
Leonardo Lelo,Casa-Pia,5.0,https://static-img.zz.pt/jogadores/87/435987_20220913170727_leonardo_lelo.png,444766.0,1281236.0,6.0,2.9,22.0,56.0,29.0,83.0,2.4,1.0,13.0,50.0,7.0,311.0,43.0,6.0,52.0,2290.0
Bruno Langa,Chaves,5.0,https://static-img.zz.pt/jogadores/43/517243_20220812231433_bruno_langa.png,390741.0,1125477.0,0.0,3.2,32.0,102.0,30.0,122.0,0.5,0.0,18.0,70.0,4.0,366.0,55.0,5.0,63.0,2472.0
João Gamboa,Estoril,5.0,https://static-img.zz.pt/jogadores/36/970336__20230116083300_joao_gamboa.jpg,333315.0,632709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0
João Gamboa,Estoril,5.0,https://static-img.zz.pt/jogadores/36/970336__20230116083300_joao_gamboa.jpg,333315.0,632709.0,0.0,0.2,4.0,35.0,3.0,39.0,0.4,0.0,6.0,15.0,0.0,117.0,2.0,0.0,4.0,1043.0
Rúben Lima,Famalicao,5.0,https://static-img.zz.pt/jogadores/66/52766_20220803201750_ruben_lima.png,136435.0,164472.0,0.0,0.7,9.0,43.0,11.0,50.0,0.1,1.0,4.0,15.0,0.0,174.0,21.0,0.0,15.0,1184.0
Zainadine Júnior,Maritimo,5.0,https://static-img.zz.pt/jogadores/89/121589_20220810203232_zainadine_junior.png,137058.0,191972.0,0.0,0.2,4.0,59.0,3.0,61.0,1.0,0.0,15.0,16.0,0.0,294.0,4.0,1.0,7.0,2080.0
Antunes,Pacos-de-Ferreira,5.0,https://static-img.zz.pt/jogadores/02/29102_20220808234648_antunes.jpg,23621.0,45244.0,2.0,2.9,32.0,113.0,22.0,147.0,1.6,1.0,26.0,58.0,3.0,374.0,48.0,5.0,62.0,2665.0
Wagner Leonardo,Portimonense,5.0,https://static-img.zz.pt/jogadores/64/553564_20230119102133_wagner_leonardo_1674123693.jpg,373974.0,1047658.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,90.0
Iván Marcano,Porto,5.0,https://static-img.zz.pt/jogadores/73/36773_20220817115011_ivan_marcano.png,28521.0,80497.0,0.0,0.1,4.0,80.0,3.0,116.0,2.8,4.0,15.0,13.0,1.0,277.0,10.0,0.0,11.0,2195.0
Hidemasa Morita,Sporting,5.0,https://static-img.zz.pt/jogadores/15/624515_20220907200609_hidemasa_morita.png,409279.0,915102.0,3.0,1.4,17.0,104.0,19.0,126.0,4.8,6.0,28.0,50.0,3.0,284.0,28.0,7.0,33.0,1958.0
Hélder Sá,Vitoria-de-Guimaraes,5.0,https://static-img.zz.pt/jogadores/25/529425_20220729164827_helder_sa_1659109707.jpg,412912.0,1243934.0,0.0,1.4,9.0,33.0,10.0,32.0,0.1,0.0,4.0,22.0,1.0,110.0,9.0,1.0,22.0,800.0
Anderson Jesus,Vizela,5.0,https://static-img.zz.pt/jogadores/59/448159_20220813000225_anderson_jesus.png,416912.0,1130889.0,0.0,0.1,3.0,28.0,1.0,28.0,3.5,3.0,14.0,13.0,2.0,370.0,3.0,2.0,4.0,2667.0
Mateus Quaresma,Arouca,6.0,https://static-img.zz.pt/jogadores/64/448964_20220806111149_mateus_quaresma.png,416502.0,1195556.0,1.0,1.7,20.0,91.0,26.0,96.0,0.3,1.0,13.0,53.0,7.0,458.0,43.0,4.0,65.0,2740.0
Alexander Bah,Benfica,6.0,https://static-img.zz.pt/jogadores/06/523006_20220916101410_alexander_bah.jpg,401520.0,734287.0,4.0,5.2,32.0,107.0,47.0,118.0,0.4,1.0,9.0,65.0,7.0,276.0,43.0,6.0,59.0,1879.0
Ibrahima Camará,Boavista,6.0,https://static-img.zz.pt/jogadores/89/929389__20220905114115_ibrahima_camara.png,370018.0,955790.0,2.0,1.1,15.0,52.0,6.0,58.0,0.9,0.0,13.0,31.0,6.0,116.0,7.0,4.0,17.0,1032.0
Nuno Sequeira,Braga,6.0,https://static-img.zz.pt/jogadores/13/82513_20220803190611_nuno_sequeira.jpg,140118.0,191793.0,2.0,2.2,36.0,96.0,31.0,112.0,0.3,1.0,11.0,71.0,3.0,283.0,47.0,3.0,40.0,2060.0
Derick Poloni,Casa-Pia,6.0,https://static-img.zz.pt/jogadores/30/382330_20220913170901_derick_poloni.png,446997.0,866420.0,0.0,1.0,12.0,25.0,16.0,44.0,0.9,0.0,15.0,30.0,2.0,207.0,30.0,4.0,31.0,1441.0
Alexandre Penetra,Famalicao,6.0,https://static-img.zz.pt/jogadores/85/413285_20220803201813_alexandre_penetra.png,422248.0,1186780.0,2.0,1.9,21.0,84.0,27.0,89.0,1.2,2.0,19.0,50.0,9.0,271.0,14.0,0.0,22.0,2512.0
Lucas Barros,Gil-Vicente,6.0,https://static-img.zz.pt/jogadores/57/606757_20220803184500_lucas_barros.png,,1020007.0,,,,,,,,,,,,,,,,
Rafael Brito,Maritimo,6.0,https://static-img.zz.pt/jogadores/79/503779_20220810205320_rafael_brito.png,433586.0,1080681.0,0.0,0.5,6.0,20.0,7.0,41.0,0.1,0.0,4.0,16.0,0.0,90.0,1.0,0.0,4.0,636.0
Jordan Holsgrove,Pacos-de-Ferreira,6.0,https://static-img.zz.pt/jogadores/03/511803_20220808235745_jordan_holsgrove.jpg,408941.0,877568.0,2.0,0.7,14.0,87.0,17.0,104.0,1.9,2.0,36.0,62.0,6.0,211.0,27.0,8.0,48.0,1780.0
Henrique Jocú,Portimonense,6.0,https://static-img.zz.pt/jogadores/79/428379_20220808160611_henrique_jocu_1659971171.jpg,422208.0,1187277.0,0.0,0.5,3.0,5.0,3.0,8.0,0.0,0.0,1.0,7.0,1.0,66.0,4.0,0.0,2.0,458.0
Guga Rodrigues,Rio-Ave,6.0,https://static-img.zz.pt/jogadores/76/155276_20220803215733_guga_rodrigues.png,380617.0,767713.0,2.0,3.9,59.0,138.0,32.0,188.0,2.6,2.0,51.0,116.0,6.0,329.0,62.0,4.0,78.0,2901.0
Bruno Jordão ,Santa-Clara,6.0,https://static-img.zz.pt/jogadores/21/437121_20230311152755_bruno_jordao_.png,346000.0,777052.0,0.0,0.3,7.0,25.0,5.0,34.0,1.6,1.0,13.0,21.0,0.0,110.0,10.0,2.0,19.0,843.0
Sotiris Alexandropoulos,Sporting,6.0,https://static-img.zz.pt/jogadores/98/730898_20220922125448_sotiris_alexandropoulos.png,418175.0,1093025.0,0.0,0.1,1.0,5.0,0.0,6.0,0.2,0.0,1.0,3.0,0.0,21.0,3.0,1.0,7.0,104.0
Claudemir,Vizela,6.0,https://static-img.zz.pt/jogadores/77/70277_20220813002812_claudemir.png,36137.0,114688.0,1.0,0.7,6.0,70.0,3.0,68.0,0.6,0.0,10.0,25.0,1.0,210.0,5.0,0.0,5.0,1359.0
Yusuf Lawal,Arouca,7.0,https://static-img.zz.pt/jogadores/83/602083_20230227190014_yusuf_lawal.png,421502.0,889100.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,13.0,1.0,1.0,2.0,82.0
