id,eventType,teamId,playerId,playerName,x,y,min,minAdded,isBlocked,isOnTarget,blockedX,blockedY,goalCrossedY,goalCrossedZ,expectedGoals,expectedGoalsOnTarget,shotType,situation,period,isOwnGoal,onGoalShot,firstName,lastName,teamColor,name,homeTeam,awayTeam,round,shortName,fullName
2451604639,Goal,9765,449834,Welinton Junior,97.37719298180001,38.45237967153511,43,,False,True,,,37.2025,2.0739999898,0.2027076482772827,0.5718,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.15277777777777768, 'y': 0.5486772459788359, 'zoomRatio': 1}",Welinton,Junior,#000000,Portimonense,Maritimo,Portimonense,4,,
2451614295,AttemptSaved,9765,331762,Ewerton,98.63158189177861,25.8228125,45,2.0,False,True,102.7241379312,29.967857141,34.1525,0.9374736795999999,0.1239586770534515,0.0231,RightFoot,RegularPlay,FirstHalf,False,"{'x': 0.9596560846560838, 'y': 0.24800890994708993, 'zoomRatio': 1}",,Ewerton,#000000,Portimonense,Maritimo,Portimonense,4,,
2451616003,AttemptSaved,9765,866406,Willyan,92.9000015258789,32.780001163482666,45,3.0,True,True,95.640350876,33.31375,35.22000000000001,1.2199999940000001,0.0170147120952606,,Header,FromCorner,FirstHalf,False,"{'x': 0.6772486772486757, 'y': 0.32275132116402117, 'zoomRatio': 1}",,Willyan,#000000,Portimonense,Maritimo,Portimonense,4,,
2451656021,AttemptSaved,10212,816256,Matheus Costa,93.6999969482422,27.950714285,50,,False,True,103.19827586219999,33.00875,35.83,0.32747368260000004,0.0331279039382934,0.1436,Header,FromCorner,SecondHalf,False,"{'x': 0.5158730158730164, 'y': 0.08663324936507935, 'zoomRatio': 1}",Matheus,Costa,#003010,Maritimo,Maritimo,Portimonense,4,,
2451658545,Miss,10212,267368,Claudio Winck,81.02087035026886,18.74445886827178,51,,False,False,,,25.7071875,0.5329473658000001,0.0153286159038543,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 2, 'y': 0.06426617818743645, 'zoomRatio': 0.4558164072804012}",Claudio,Winck,#003010,Maritimo,Maritimo,Portimonense,4,,
2451673669,AttemptSaved,9765,449834,Welinton Junior,77.19175101133114,34.83874883651734,59,,False,True,98.0526315785,34.305,35.60125,0.12199999939999999,0.1179831326007843,0.1059,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.5763888888888888, 'y': 0.032275132116402115, 'zoomRatio': 1}",Welinton,Junior,#000000,Portimonense,Maritimo,Portimonense,4,,
2451675665,AttemptSaved,9765,449834,Welinton Junior,95.1578917908214,41.22595366346489,60,,False,True,103.9568965518,35.3725,35.6775,0.7705263120000001,0.0404194295406341,0.0567,Header,RegularPlay,SecondHalf,False,"{'x': 0.5562169312169307, 'y': 0.2038429396825397, 'zoomRatio': 1}",Welinton,Junior,#000000,Portimonense,Maritimo,Portimonense,4,,
2451682751,AttemptSaved,10212,941726,Antonio Zarzana,85.49411437024823,23.36866295934357,65,,True,True,88.9,25.07125000000001,33.92375,1.2199999940000001,0.0161830186843872,,LeftFoot,RegularPlay,SecondHalf,False,"{'x': 1.0201719576719581, 'y': 0.32275132116402117, 'zoomRatio': 1}",Antonio,Zarzana,#003010,Maritimo,Maritimo,Portimonense,4,,
2451684169,Miss,10212,421148,Stefano Beltrame,80.57039178733112,21.196688168771786,66,,False,False,,,29.21142857,6.635448288800001,0.0301407575607299,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 1.4887467320561096, 'y': 0.6772486772486772, 'zoomRatio': 0.38580663861415876}",Stefano,Beltrame,#003010,Maritimo,Maritimo,Portimonense,4,,
2451686051,AttemptSaved,10212,819916,André Vidigal,84.7373786408,38.03214157653511,68,,True,True,88.9,37.708,35.22000000000001,1.2199999940000001,0.0380273759365081,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.6772486772486757, 'y': 0.32275132116402117, 'zoomRatio': 1}",André,Vidigal,#003010,Maritimo,Maritimo,Portimonense,4,,
2451686183,AttemptSaved,10212,819916,André Vidigal,96.4122807008,45.962545628725735,68,,True,True,98.1491228066,44.0007643265,36.51625,1.2199999940000001,0.0604479014873504,,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.33432539682539697, 'y': 0.32275132116402117, 'zoomRatio': 1}",André,Vidigal,#003010,Maritimo,Maritimo,Portimonense,4,,
2451690029,AttemptSaved,10212,267368,Claudio Winck,90.3000030517578,23.85910935398713,74,,False,True,101.0172413796,31.559999999999995,34.915000000000006,0.160526315,0.1029525399208068,0.0662,RightFoot,RegularPlay,SecondHalf,False,"{'x': 0.7579365079365064, 'y': 0.042467279100529096, 'zoomRatio': 1}",Claudio,Winck,#003010,Maritimo,Maritimo,Portimonense,4,,
