id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2545990017.0,9.0,1.0,6.0,935,33.915,49.844,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,330832.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
2545990071.0,10.0,1.0,10.0,935,40.11000000000001,49.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 216, 218]",True,330832.0,41.265,57.800000000000004,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0005445499999999995
2545990107.0,11.0,1.0,11.0,935,41.265,57.800000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,119622.0,34.44,59.024,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0023706000000000005
2545990121.0,12.0,1.0,13.0,935,35.28,59.636,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,298175.0,40.11000000000001,65.62,,,,,,,,,,,,,False,Famalicao,Chaves,0.0
2545990145.0,13.0,1.0,14.0,935,40.214999999999996,65.62,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'PassEndX', 'StandingSave', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,401060.0,54.6,66.708,,,,,,,,,,,,,False,Famalicao,Chaves,0.0034732899999999987
2545990167.0,14.0,1.0,16.0,935,54.6,66.708,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,402892.0,40.95,66.30000000000001,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0034732899999999987
2545990195.0,15.0,1.0,18.0,935,40.845,66.30000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'StandingSave', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,401060.0,35.910000000000004,61.608000000000004,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0014860800000000007
2545990241.0,16.0,1.0,20.0,935,35.28,60.928,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'StandingSave', 'PassEndX', 'PassEndY', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,298175.0,28.14,53.788,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0006677700000000016
2545990281.0,17.0,1.0,23.0,935,26.565,47.19200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Length', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,402207.0,26.040000000000003,24.956000000000003,,,,,,,,,,,,,False,Famalicao,Chaves,-0.00109158
2545990345.0,18.0,1.0,26.0,935,26.46,28.016000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,380619.0,33.18,53.17600000000001,,,,,,,,,,,,,False,Famalicao,Chaves,-0.0007288600000000013
2545990437.0,19.0,1.0,30.0,935,38.115,55.148,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Longball', 'PassEndY', 'PassEndX', 'Length', 'Zone', 'Chipped']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,298175.0,99.12,63.85200000000001,,,,,,,,,,,,,True,Famalicao,Chaves,0.025778709999999996
2545990521.0,20.0,1.0,37.0,935,98.385,62.83200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'ShotAssist', 'Length', 'StandingSave', 'PassEndX', 'PassEndY', 'IntentionalAssist', 'KeyPass']","[91, 119, 117, 30, 123, 205, 40, 46, 36, 38, 217, 218]",True,142819.0,101.325,52.29200000000001,,,,,,,,,,,,,True,Famalicao,Chaves,0.00855131
2545990563.0,21.0,1.0,38.0,935,101.53500000000001,46.376000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['Assisted', 'RelatedEventId', 'DeepBoxLeft', 'RegularPlay', 'GoalMouthZ', 'BlockedY', 'IntentionalAssist', 'LeftFoot', 'Zone', 'BlockedX', 'GoalMouthY', 'OppositeRelatedEvent', 'StandingSave', 'LowLeft']","[91, 9, 10, 1, 3, 13]",True,119622.0,,,20.0,142819.0,99.0,54.9,1.9,52.0,True,,,,,,,Famalicao,Chaves,
2545990491.0,25.0,1.0,39.0,2008,0.8400000000000001,30.124,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['ParriedSafe', 'Zone', 'Hands', 'OppositeRelatedEvent', 'KeeperSaveInTheBox']","[91, 109, 113, 112, 77, 79, 81]",True,363078.0,,,,,,,,,,,,,1.0,Paulo Vítor,,Famalicao,Chaves,
2545990599.0,22.0,1.0,40.0,935,102.165,41.61600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['OppositeRelatedEvent', 'Zone', 'MissLeft']",[122],False,119622.0,,,,,,,,,,,,,,,,Famalicao,Chaves,
2545990753.0,27.0,1.0,40.0,2008,2.8350000000000004,26.384,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['Zone', 'MissLeft', 'OppositeRelatedEvent']",[122],False,363078.0,,,,,,,,,,,,,1.0,Paulo Vítor,,Famalicao,Chaves,
2545990915.0,23.0,2.0,10.0,935,104.47500000000001,67.66000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'CornerTaken', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 205, 31, 32, 34, 35, 38, 217, 218]",True,402892.0,86.94,58.004000000000005,,,,,,,,,,,,,False,Famalicao,Chaves,0.00274402
2545990947.0,24.0,2.0,12.0,935,86.94,58.004000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,298175.0,94.71000000000001,61.744,,,,,,,,,,,,,False,Famalicao,Chaves,0.005318000000000003
2545990963.0,25.0,2.0,14.0,935,94.71000000000001,61.744,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'RightFoot', 'PassEndY', 'Chipped', 'Cross', 'OppositeRelatedEvent', 'Angle', 'Length', 'Zone', 'StandingSave']","[91, 137, 124, 126, 36, 38, 217, 218]",True,402892.0,99.75,33.932,,,,,,,,,,,,,True,Famalicao,Chaves,
