id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2338811079.0,19.0,0.0,8071.0,380894.0,73.29000000000002,37.536,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle']","[90, 118, 116, 29, 34, 37, 215, 217]",True,46.0,62.79,30.736000000000004,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.0038807899999999985
2338811155.0,20.0,0.0,8071.0,116223.0,63.0,31.076000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[90, 118, 116, 29, 35, 36, 215, 217]",True,47.0,65.625,61.744,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.002520100000000001
2338811343.0,21.0,0.0,8071.0,369863.0,74.34,59.50000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'PlayerCaughtOffside']","[90, 216]",True,51.0,89.565,36.720000000000006,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338811339.0,9.0,0.0,292.0,381650.0,20.37,42.024,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[61],False,51.0,,,,,,,,,,,,27.0,Chima Akas,,Belenenses SAD,Tondela,
2338822343.0,11021.0,0.0,8071.0,344991.0,89.565,36.720000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[60],False,,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338811885.0,10.0,1.0,292.0,422229.0,18.585,21.012,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['FreekickTaken', 'IndirectFreekickTaken', 'Length', 'PassEndX', 'Zone', 'Longball', 'Angle', 'PassEndY', 'StandingSave']","[90, 119, 127, 132, 35, 37, 216, 217]",True,21.0,70.35000000000002,13.872000000000002,,,,,,,,,,1.0,Luiz Felipe,True,Belenenses SAD,Tondela,0.014002169999999998
2338811911.0,22.0,1.0,8071.0,369863.0,28.875,56.03200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'HeadPass', 'Zone']","[90, 117, 119, 28, 138, 35, 37, 215, 217]",True,24.0,44.94,44.132000000000005,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.003696379999999999
2338811941.0,11.0,1.0,292.0,292068.0,62.265,25.432,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[196, 198]",False,26.0,,,,,,,,,,,,21.0,Cafu,,Belenenses SAD,Tondela,
2338811917.0,23.0,1.0,8071.0,119089.0,42.73500000000001,42.568000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[197, 199]",False,26.0,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338811963.0,12.0,1.0,292.0,292068.0,63.839999999999996,25.976000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'PassEndY', 'HeadPass', 'Length', 'Zone']","[90, 119, 28, 138, 35, 36, 216, 217]",True,26.0,70.35000000000002,38.692,,,,,,,,,,21.0,Cafu,False,Belenenses SAD,Tondela,0.0038807899999999985
2338811973.0,24.0,1.0,8071.0,283364.0,35.175000000000004,30.668000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,28.0,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338812069.0,25.0,1.0,8071.0,283364.0,32.97,29.648000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Length']","[90, 116, 29, 35, 37, 215, 217]",True,31.0,37.38,14.620000000000001,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.00082343
2338812085.0,13.0,1.0,292.0,355358.0,62.895,67.116,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Zone', 'Defensive']","[90, 59]",True,32.0,,,,,,,,,,,,64.0,Rafael Camacho,,Belenenses SAD,Tondela,
2338812075.0,26.0,1.0,8071.0,394930.0,37.8,11.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'OppositeRelatedEvent', 'Length', 'StandingSave', 'Offensive', 'PassEndY', 'Angle', 'Zone']","[90, 117, 119, 28, 35, 36, 215, 217]",True,32.0,41.160000000000004,12.58,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0
2338812123.0,14.0,1.0,292.0,292068.0,58.48500000000001,65.07600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,34.0,,,,,,,,,,,,21.0,Cafu,,Belenenses SAD,Tondela,
2338812151.0,15.0,1.0,292.0,292068.0,58.485000000000014,65.07600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'Zone', 'StandingSave']","[90, 118, 116, 29, 35, 36, 215, 217]",True,34.0,61.74,66.028,,,,,,,,,,21.0,Cafu,False,Belenenses SAD,Tondela,0.002714640000000001
2338812175.0,16.0,1.0,292.0,355358.0,60.795,65.62,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[90, 118, 116, 29, 34, 37, 215, 217]",True,35.0,54.70500000000001,61.40400000000001,,,,,,,,,,64.0,Rafael Camacho,False,Belenenses SAD,Tondela,0.0
,,1.0,,381650.0,54.70500000000001,61.40400000000001,,,Carry,,,,,35.0,57.855000000000004,60.24800000000001,,,,,,,,,,27.0,Chima Akas,False,Belenenses SAD,Tondela,0.0
2338812203.0,17.0,1.0,292.0,381650.0,57.855000000000004,60.24800000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[90, 118, 116, 29, 34, 37, 215, 217]",True,37.0,55.230000000000004,47.94000000000001,,,,,,,,,,27.0,Chima Akas,False,Belenenses SAD,Tondela,0.0021200000000000004
2338812251.0,18.0,1.0,292.0,411937.0,55.02,47.94000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'PassEndY', 'PassEndX']","[90, 116, 29, 34, 36, 215, 217]",True,38.0,45.57,59.84,,,,,,,,,,16.0,César Sousa,False,Belenenses SAD,Tondela,-0.0043725199999999995
,,1.0,,381650.0,45.57,59.84,,,Carry,,,,,38.0,40.74,51.61200000000001,,,,,,,,,,27.0,Chima Akas,False,Belenenses SAD,Tondela,-0.00033624999999999974
2338812311.0,19.0,1.0,292.0,381650.0,40.74,51.61200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone']","[90, 116, 29, 34, 37, 215, 217]",True,40.0,37.59,29.104000000000006,,,,,,,,,,27.0,Chima Akas,False,Belenenses SAD,Tondela,0.0004792700000000004
2338812377.0,20.0,1.0,292.0,70884.0,37.59,29.104000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone', 'StandingSave']","[90, 116, 29, 35, 37, 215, 217]",True,43.0,39.48,8.092,,,,,,,,,,32.0,Yohan Tavares,False,Belenenses SAD,Tondela,-0.0013637900000000001
2338812419.0,21.0,1.0,292.0,322735.0,39.48,7.956000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,46.0,51.13500000000001,1.904,,,,,,,,,,17.0,Carraça,False,Belenenses SAD,Tondela,0.0012207699999999995
2338812445.0,22.0,1.0,292.0,235920.0,51.13500000000001,1.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'PassEndX', 'Length', 'StandingSave', 'Zone']","[90, 116, 29, 34, 36, 215, 217]",True,47.0,42.525,7.684000000000001,,,,,,,,,,7.0,Pedro Nuno,False,Belenenses SAD,Tondela,-0.0012207699999999995
,,1.0,,322735.0,42.525,7.684000000000001,,,Carry,,,,,47.0,44.730000000000004,13.872000000000002,,,,,,,,,,17.0,Carraça,False,Belenenses SAD,Tondela,0.00258273
2338812501.0,23.0,1.0,292.0,322735.0,44.730000000000004,13.872000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Longball', 'Angle', 'Chipped']","[90, 119, 123, 127, 35, 36, 216, 217]",True,50.0,79.17000000000003,59.024,,,,,,,,,,17.0,Carraça,True,Belenenses SAD,Tondela,0.015687319999999998
2338812577.0,27.0,1.0,8071.0,394930.0,26.565,13.464000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'Angle', 'Zone', 'PassEndX', 'Length', 'PassEndY']","[90, 116, 29, 138, 35, 36, 215, 217]",True,53.0,44.20500000000001,16.048000000000002,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.004421580000000001
2338812591.0,28.0,1.0,8071.0,283364.0,43.68000000000001,15.504,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,55.0,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338812605.0,29.0,1.0,8071.0,283364.0,43.680000000000014,15.504,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'HeadPass', 'PassEndX', 'Zone']","[90, 116, 29, 138, 34, 37, 214, 217]",True,55.0,32.97,12.376000000000001,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.0015522899999999996
2339335763.0,894.0,1.0,8071.0,394930.0,28.035,11.56,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave']","[90, 116, 29, 35, 36, 215, 217]",True,57.0,36.225,12.58,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0015522899999999996
2339335927.0,895.0,1.0,8071.0,283364.0,37.48500000000001,13.736000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[90, 116, 29, 34, 37, 214, 217]",True,58.0,27.615000000000002,13.124,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.0015522899999999996
2338812733.0,30.0,1.0,8071.0,394930.0,31.815,12.036,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[90, 116, 29, 34, 36, 214, 217]",True,59.0,24.044999999999998,18.972,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.00058186
2338812845.0,31.0,2.0,8071.0,394932.0,31.5,16.116,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'Zone']","[90, 116, 29, 34, 36, 214, 217]",True,5.0,25.515,46.30800000000001,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.00058186
2338812875.0,32.0,2.0,8071.0,375327.0,25.830000000000002,57.800000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'StandingSave', 'Angle', 'Length', 'PassEndY']","[90, 116, 29, 35, 36, 214, 217]",True,10.0,34.545,65.62,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0003527700000000005
2338812925.0,33.0,2.0,8071.0,369863.0,36.015,65.89200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,11.0,41.055,50.456,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0014290699999999993
2338813023.0,34.0,2.0,8071.0,116223.0,38.64,50.04800000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Zone']","[90, 116, 29, 35, 36, 215, 217]",True,13.0,51.345,51.000000000000014,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0011536600000000008
2338813131.0,35.0,2.0,8071.0,91775.0,65.41500000000002,58.480000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[90, 119, 28, 35, 37, 216, 217]",True,20.0,90.72000000000001,48.75600000000001,,,,,,,,,,,,True,Belenenses SAD,Tondela,0.03620791
2338813097.0,24.0,2.0,292.0,70884.0,9.240000000000002,14.892,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[90, 100, 101, 55]",True,22.0,,,,,,,,,,,,32.0,Yohan Tavares,,Belenenses SAD,Tondela,
2338813163.0,36.0,2.0,8071.0,344991.0,86.625,51.61200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[90, 68]",True,23.0,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338813117.0,25.0,2.0,292.0,70884.0,9.45,14.824000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,24.0,,,,,,,,,,,,32.0,Yohan Tavares,,Belenenses SAD,Tondela,
2338813179.0,26.0,2.0,292.0,70884.0,9.45,14.824000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'StandingSave']","[90, 116, 29, 35, 36, 214, 217]",True,24.0,16.275000000000002,17.34,,,,,,,,,,32.0,Yohan Tavares,False,Belenenses SAD,Tondela,0.0009915600000000007
,,2.0,,322735.0,16.275000000000002,17.34,,,Carry,,,,,24.0,13.334999999999999,16.524,,,,,,,,,,17.0,Carraça,False,Belenenses SAD,Tondela,-0.0009915600000000007
2338813193.0,27.0,2.0,292.0,322735.0,13.334999999999999,16.524,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'PassEndY', 'Length', 'PassEndX', 'Zone', 'Chipped']","[90, 117, 119, 28, 123, 35, 37, 215, 217]",True,25.0,38.64,12.24,,,,,,,,,,17.0,Carraça,False,Belenenses SAD,Tondela,0.003361300000000001
2338813201.0,37.0,2.0,8071.0,380894.0,66.78,58.276,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,27.0,,,,,,,,,,,,,,,Belenenses SAD,Tondela,
2338813247.0,38.0,2.0,8071.0,380894.0,66.78,58.276,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'StandingSave']","[90, 118, 116, 29, 34, 37, 215, 217]",True,28.0,63.315,45.56,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0006478500000000019
2338813269.0,39.0,2.0,8071.0,116223.0,62.265,44.26800000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,30.0,72.97500000000002,25.772000000000002,,,,,,,,,,,,True,Belenenses SAD,Tondela,0.004500169999999998
2338813299.0,40.0,2.0,8071.0,119089.0,73.08,25.772000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave']","[90, 118, 116, 29, 34, 37, 215, 217]",True,31.0,66.57000000000001,10.744000000000002,,,,,,,,,,,,False,Belenenses SAD,Tondela,-0.00514802
2338813351.0,41.0,2.0,8071.0,394930.0,63.42,10.744000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX']","[90, 118, 116, 29, 204, 35, 37, 216, 217]",True,33.0,70.98,2.788,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0025178200000000005
2338813381.0,42.0,2.0,8071.0,283364.0,69.72000000000001,3.808,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Length', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX']","[90, 119, 28, 34, 36, 215, 217]",True,36.0,69.19500000000001,22.644,,,,,,,,,,,,False,Belenenses SAD,Tondela,0.0019007200000000016
2338813415.0,28.0,2.0,292.0,422230.0,31.395,46.376000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,38.0,,,,,,,,,,,,18.0,Alioune Ndour,,Belenenses SAD,Tondela,
