id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379196119.0,11011.0,0.0,2188.0,374830.0,81.375,65.008,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,20.0,Bruno Lourenço,,Maritimo,Estoril,
2379185981.0,11.0,1.0,264.0,241843.0,30.450000000000003,57.188,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Defensive', 'Foul', 'OppositeRelatedEvent']","[91, 63]",True,1.0,,,,,,,,,,,,,,Maritimo,Estoril,
2379186019.0,12.0,1.0,2188.0,322665.0,74.55,10.812,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Zone', 'Offensive', 'StandingSave', 'OppositeRelatedEvent', 'Foul']",[64],False,1.0,,,,,,,,,,,92.0,António Xavier,,Maritimo,Estoril,
2379186311.0,12.0,1.0,264.0,422003.0,31.71,56.37200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'FreekickTaken', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 132, 35, 38, 215, 218]",True,11.0,27.615000000000002,47.736,,,,,,,,,,,False,Maritimo,Estoril,0.00050972
2379186329.0,13.0,1.0,264.0,137058.0,26.88000000000001,47.94000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'StandingSave', 'PassEndY', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,14.0,38.115,57.18800000000002,,,,,,,,,,,False,Maritimo,Estoril,0.0021341499999999996
2380171153.0,924.0,1.0,264.0,422003.0,40.95000000000001,57.800000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'StandingSave', 'PassEndX', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,16.0,53.97,65.62,,,,,,,,,,,False,Maritimo,Estoril,0.002588769999999999
2379186371.0,14.0,1.0,264.0,329366.0,54.495,66.028,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'PassEndY', 'Zone', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,19.0,52.92,61.81200000000001,,,,,,,,,,,False,Maritimo,Estoril,0.0
2379186411.0,15.0,1.0,264.0,241843.0,43.995,52.496,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,21.0,36.015,40.528000000000006,,,,,,,,,,,False,Maritimo,Estoril,0.0004792700000000004
2379186449.0,16.0,1.0,264.0,137058.0,34.965,36.720000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'StandingSave', 'Angle', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,24.0,32.865,17.544,,,,,,,,,,,False,Maritimo,Estoril,-0.0002191399999999996
2379186495.0,17.0,1.0,264.0,422005.0,33.495,17.544,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,26.0,42.105000000000004,22.712,,,,,,,,,,,False,Maritimo,Estoril,0.0015871199999999992
