id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2331426249.0,12.0,0.0,58.0,264.0,38.535,11.9,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive', 'StandingSave']","[90, 142]",True,368411.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331426271.0,13.0,0.0,59.0,264.0,39.9,4.828,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,403771.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331426355.0,14.0,1.0,0.0,264.0,39.9,4.828,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'StandingSave']","[90, 116, 29, 34, 36, 215, 217]",True,403771.0,37.59,10.948000000000002,,,,,,,,,,,False,Famalicao,Maritimo,0.0008845199999999998
2331426365.0,15.0,1.0,1.0,264.0,36.64500000000001,6.188000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Zone']","[90, 116, 29, 35, 37, 215, 217]",True,101952.0,51.13500000000001,4.488000000000001,,,,,,,,,,,False,Famalicao,Maritimo,0.0027068500000000002
2331513759.0,386.0,1.0,2.0,264.0,50.505,7.752000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[90, 68]",True,416884.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2332318009.0,780.0,1.0,3.0,264.0,44.52,5.712000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Zone', 'Defensive', 'OppositeRelatedEvent', 'StandingSave']","[90, 59]",True,416884.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2331426459.0,24.0,1.0,3.0,935.0,56.49,63.036000000000016,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Zone', 'Offensive', 'OppositeRelatedEvent', 'Length']","[90, 119, 28, 35, 37, 215, 217]",True,243271.0,58.38,61.94800000000002,,,,,,,,,5.0,Adrián Marín,False,Famalicao,Maritimo,0.0
2331427089.0,17.0,1.0,21.0,264.0,34.125,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'Angle', 'ThrowIn', 'PassEndX']","[90, 211, 35, 36, 215]",True,101952.0,44.625,2.72,,,,,,,,,,,False,Famalicao,Maritimo,0.0014860800000000007
2332318705.0,781.0,1.0,22.0,264.0,43.47,3.3320000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Zone', 'OppositeRelatedEvent', 'Defensive']","[196, 199]",False,403771.0,,,,,,,,,,,,,,Famalicao,Maritimo,
2332318729.0,899.0,1.0,22.0,935.0,61.53,64.668,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[197, 198]",False,365414.0,,,,,,,,,,,9.0,Marcos Paulo,,Famalicao,Maritimo,
