id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,1.0,25.0,,51.13500000000001,44.064,,,Carry,,,,,425474.0,50.925000000000004,40.8,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,0.0005547
2366574937.0,16.0,1.0,27.0,2899.0,50.925000000000004,40.8,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,425474.0,49.77,19.584000000000003,,,,,,,,,,,25.0,Mohamed Aidara,False,Arouca,Vizela,-0.0005547
2366574959.0,17.0,1.0,31.0,2899.0,49.77,19.584000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Longball', 'Zone', 'StandingSave', 'Chipped', 'Angle', 'PassEndX']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,331637.0,87.57000000000001,2.5160000000000005,,,,,,,,,,,3.0,Bruno Wilson,True,Arouca,Vizela,0.01327184
,,1.0,31.0,,87.57000000000001,2.5160000000000005,,,Carry,,,,,342610.0,89.14500000000002,2.5160000000000005,,,,,,,,,,,39.0,Koffi Kouao,False,Arouca,Vizela,0.0
2366574969.0,19.0,1.0,34.0,5948.0,15.12,65.41600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,383609.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366574965.0,18.0,1.0,34.0,2899.0,89.14500000000002,2.5160000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'StandingSave']","[91, 120, 29, 36, 37, 217, 218]",True,342610.0,90.09,4.760000000000001,,,,,,,,,,,39.0,Koffi Kouao,False,Arouca,Vizela,0.0
2366574983.0,19.0,1.0,37.0,2899.0,98.07,5.304,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissRight', 'OppositeRelatedEvent', 'Zone']",[122],False,342610.0,,,,,,,,,,,,,39.0,Koffi Kouao,,Arouca,Vizela,
2366574979.0,20.0,1.0,37.0,5948.0,6.93,62.696000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'MissLeft']",[122],False,383609.0,,,,,,,,,,,,,,,,Arouca,Vizela,
2366575131.0,20.0,2.0,0.0,2899.0,104.47500000000001,0.34,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndY', 'CornerTaken', 'OppositeRelatedEvent', 'Cross', 'Chipped', 'Length', 'PassEndX', 'LeftFoot', 'Longball', 'Angle', 'Zone']","[91, 138, 124, 126, 31, 33, 34, 35, 37, 217, 218]",True,322742.0,100.48500000000001,33.93200000000001,,,,,,,,,,,20.0,Samu,True,Arouca,Vizela,0.21952771999999998
2366575141.0,21.0,2.0,2.0,5948.0,7.455,34.204,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Punch,Successful,"['Length', 'Angle', 'OppositeRelatedEvent', 'PassEndY', 'PassEndX']","[91, 94, 95, 206, 215]",True,423351.0,19.635,36.312000000000005,,,,,,,,,,,,,,Arouca,Vizela,
2366575147.0,22.0,2.0,4.0,5948.0,19.215,36.312000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Zone', 'HeadPass', 'Angle', 'Length']","[91, 118, 120, 29, 139, 35, 38, 215, 218]",True,298402.0,18.27,28.492000000000004,,,,,,,,,,,,,False,Arouca,Vizela,0.000661730000000001
