id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2379843731.0,14.0,0.0,49.0,2899.0,13.23,46.172,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,416912.0,,,,,,,,,,,,5.0,Anderson,,Boavista,Vizela,
2379843741.0,15.0,0.0,49.0,2899.0,13.23,46.172,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,416912.0,5.985,39.98400000000001,,,,,,,,,,5.0,Anderson,False,Boavista,Vizela,-0.0003668899999999999
2379843839.0,16.0,0.0,51.0,2899.0,5.985,39.98400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 36, 37, 215, 218]",True,361808.0,21.525000000000002,62.49200000000001,,,,,,,,,,1.0,Pedro Silva,False,Boavista,Vizela,-0.0009620200000000009
,,0.0,51.0,,21.525000000000002,62.49200000000001,,,Carry,,,,,124107.0,34.02000000000001,59.90800000000002,,,,,,,,,,37.0,Richard Ofori,True,Boavista,Vizela,0.0013280500000000008
2379843883.0,17.0,0.0,57.0,2899.0,34.02000000000001,59.90800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,124107.0,35.805,47.464,,,,,,,,,,37.0,Richard Ofori,False,Boavista,Vizela,0.0013280300000000009
2379843899.0,18.0,0.0,59.0,2899.0,35.385000000000005,47.32800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Zone', 'Length']","[91, 118, 120, 29, 36, 37, 216, 218]",True,36137.0,39.795,56.1,,,,,,,,,,6.0,Claudemir,False,Boavista,Vizela,0.0010425699999999996
2379843887.0,19.0,1.0,0.0,122.0,58.48500000000001,11.356,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,280768.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379843949.0,21.0,1.0,3.0,122.0,55.125,11.9,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,400993.0,,,,,,,,,,,,,,,Boavista,Vizela,
2379843943.0,20.0,1.0,3.0,122.0,58.800000000000004,8.704,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[91, 119, 117, 30, 35, 37, 216, 218]",True,280768.0,55.02,11.968000000000002,,,,,,,,,,,,False,Boavista,Vizela,0.0
2379843957.0,19.0,1.0,4.0,2899.0,40.845,51.204,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,36137.0,41.37,56.44000000000001,,,,,,,,,,6.0,Claudemir,False,Boavista,Vizela,0.0
