id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2368779711.0,16.0,1.0,5.0,297.0,46.410000000000004,31.348000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Chipped', 'Longball', 'PassEndX', 'StandingSave', 'Zone', 'Angle', 'PassEndY']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,114301.0,79.065,3.6040000000000014,,,,,,,,,,,,,True,Vizela,Porto,0.00637531
2368779717.0,17.0,1.0,8.0,297.0,81.48,5.168,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 53]",True,395173.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368779729.0,7.0,1.0,8.0,2899.0,23.52,62.83200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Defensive', 'StandingSave', 'Zone', 'OppositeRelatedEvent']","[91, 143]",True,124107.0,,,,,,,,,,,,,37.0,Richard Ofori,,Vizela,Porto,
,,1.0,8.0,,23.52,62.83200000000001,,,Carry,,,,,124107.0,21.21,60.928,,,,,,,,,,,37.0,Richard Ofori,False,Vizela,Porto,0.0
2368779743.0,8.0,1.0,9.0,2899.0,21.21,60.928,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Angle', 'StandingSave', 'Zone', 'PassEndY']","[91, 118, 120, 29, 36, 38, 215, 218]",True,124107.0,23.1,60.452000000000005,,,,,,,,,,,37.0,Richard Ofori,False,Vizela,Porto,0.0
2368779771.0,18.0,1.0,10.0,297.0,74.34,8.704,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Zone', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,120608.0,99.855,18.564,,,,,,,,,,,,,True,Vizela,Porto,0.04041074
2368779773.0,19.0,1.0,13.0,297.0,101.43,18.088,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'Offensive', 'StandingSave']","[91, 53]",True,384430.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368779781.0,9.0,1.0,13.0,2899.0,3.57,49.912000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['StandingSave', 'Defensive', 'OppositeRelatedEvent', 'Zone']","[91, 143]",True,425474.0,,,,,,,,,,,,,25.0,Mohamed Aidara,,Vizela,Porto,
2368779791.0,10.0,1.0,14.0,2899.0,2.415,50.388,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Length', 'Angle', 'Zone', 'PassEndY']","[91, 94, 95, 215]",True,425474.0,9.240000000000002,68.0,,,,,,,,,,,25.0,Mohamed Aidara,,Vizela,Porto,
2368779937.0,21.0,1.0,35.0,297.0,93.87,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['ThrowIn', 'PassEndX', 'Angle', 'Length', 'PassEndY', 'Longball', 'Zone']","[91, 212, 36, 37, 217]",True,114301.0,96.39,28.492000000000004,,,,,,,,,,,,,True,Vizela,Porto,0.0732003
2368779931.0,12.0,1.0,37.0,2899.0,8.82,43.112,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[197, 200]",False,66224.0,,,,,,,,,,,,,17.0,Marcos Paulo,,Vizela,Porto,
2368779945.0,22.0,1.0,37.0,297.0,96.18,24.888,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[198, 199]",False,322771.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368779959.0,13.0,1.0,37.0,2899.0,9.135,46.784,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'PassEndY', 'Zone', 'Head', 'PassEndX', 'Length']","[91, 94, 95, 57, 215]",True,66224.0,14.7,42.772000000000006,,,,,,,,,,,17.0,Marcos Paulo,,Vizela,Porto,
2368779985.0,14.0,1.0,38.0,2899.0,14.7,42.772000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'Zone', 'StandingSave', 'PassEndY', 'Length', 'PassEndX']","[91, 94, 95, 215]",True,322742.0,34.545,57.39200000000001,,,,,,,,,,,20.0,Samu,,Vizela,Porto,
2368779987.0,15.0,1.0,42.0,2899.0,34.65,57.596,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,328509.0,,,,,,,,,,,,,95.0,Guilherme Schettine,,Vizela,Porto,
,,1.0,42.0,,34.65,57.596,,,Carry,,,,,328509.0,53.655,43.79200000000001,,,,,,,,,,,95.0,Guilherme Schettine,True,Vizela,Porto,0.006261059999999999
2368780033.0,16.0,1.0,46.0,2899.0,53.655,43.79200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 53]",True,328509.0,,,,,,,,,,,,,95.0,Guilherme Schettine,,Vizela,Porto,
2368780027.0,23.0,1.0,46.0,297.0,51.345,24.208,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Defensive', 'Zone', 'StandingSave', 'OppositeRelatedEvent']","[91, 142]",True,120608.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368780173.0,18.0,1.0,50.0,2899.0,44.625,25.976000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Chipped', 'Angle', 'StandingSave', 'Zone', 'Longball', 'PassEndX', 'Length']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,328509.0,91.14,16.592,,,,,,,,,,,95.0,Guilherme Schettine,True,Vizela,Porto,0.02804346
,,1.0,50.0,,91.14,16.592,,,Carry,,,,,342610.0,101.115,17.544,,,,,,,,,,,39.0,Koffi Kouao,True,Vizela,Porto,0.023756029999999997
2368780133.0,24.0,1.0,56.0,297.0,1.89,50.592000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'Zone', 'OppositeRelatedEvent', 'StandingSave']","[91, 60]",True,381717.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368780211.0,20.0,1.0,56.0,2899.0,101.43,17.68,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['Zone', 'MissRight', 'OppositeRelatedEvent']",[122],False,342610.0,,,,,,,,,,,,,39.0,Koffi Kouao,,Vizela,Porto,
2368780149.0,25.0,1.0,56.0,297.0,3.57,50.32,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['OppositeRelatedEvent', 'MissLeft', 'Zone']",[122],False,381717.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368780177.0,19.0,1.0,56.0,2899.0,101.115,17.544,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Zone', 'Length', 'OppositeRelatedEvent', 'Offensive', 'PassEndX', 'Angle', 'PassEndY']","[91, 120, 29, 36, 37, 217, 218]",True,342610.0,101.22000000000001,17.81600000000001,,,,,,,,,,,39.0,Koffi Kouao,False,Vizela,Porto,0.0
2368780509.0,21.0,2.0,27.0,2899.0,104.47500000000001,0.34,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Chipped', 'Angle', 'Cross', 'PassEndY', 'StandingSave', 'PassEndX', 'Length', 'Longball', 'CornerTaken', 'LeftFoot']","[91, 119, 138, 124, 125, 31, 32, 34, 35, 37, 217, 218]",True,322742.0,99.54,59.704,,,,,,,,,,,20.0,Samu,False,Vizela,Porto,0.0
2368780511.0,22.0,2.0,36.0,2899.0,99.54,59.704,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,66224.0,,,,,,,,,,,,,17.0,Marcos Paulo,,Vizela,Porto,
2368780603.0,27.0,2.0,44.0,297.0,6.405,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'ThrowIn', 'Length', 'Angle', 'PassEndY', 'Zone']","[91, 212, 35, 37, 215]",True,395173.0,4.725000000000001,9.724000000000002,,,,,,,,,,,,,False,Vizela,Porto,0.0011176900000000002
2368780627.0,28.0,2.0,47.0,297.0,4.620000000000002,9.724000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,114301.0,7.455,4.964,,,,,,,,,,,,,False,Vizela,Porto,-0.0011176900000000002
2368780637.0,29.0,2.0,49.0,297.0,13.545000000000005,2.72,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'Angle', 'PassEndX', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,395173.0,26.35500000000001,13.396000000000006,,,,,,,,,,,,,False,Vizela,Porto,0.0016276599999999995
2369236439.0,1015.0,2.0,50.0,297.0,29.925,7.82,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,358801.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368780655.0,24.0,2.0,52.0,2899.0,65.625,53.720000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,426916.0,,,,,,,,,,,,,13.0,Hugues Zagbayou,,Vizela,Porto,
2368780671.0,25.0,2.0,52.0,2899.0,65.625,53.72000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,426916.0,63.73500000000002,48.00800000000002,,,,,,,,,,,13.0,Hugues Zagbayou,False,Vizela,Porto,0.0006478500000000019
2368780701.0,26.0,2.0,54.0,2899.0,63.73500000000002,48.00800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'Zone']","[91, 119, 117, 30, 36, 216, 218]",True,322742.0,69.92999999999999,48.00800000000002,,,,,,,,,,,20.0,Samu,False,Vizela,Porto,0.0
2368780707.0,27.0,2.0,54.0,2899.0,76.33500000000001,45.492,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'LayOff', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,328509.0,71.505,47.6,,,,,,,,,,,95.0,Guilherme Schettine,False,Vizela,Porto,0.0
,,2.0,54.0,,69.92999999999999,48.00800000000002,,,Carry,,,,,328509.0,76.33500000000001,45.492,,,,,,,,,,,95.0,Guilherme Schettine,True,Vizela,Porto,0.004771079999999997
2368780719.0,28.0,2.0,57.0,2899.0,71.505,47.6,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,426916.0,73.08,56.16800000000002,,,,,,,,,,,13.0,Hugues Zagbayou,False,Vizela,Porto,-0.00010719000000000006
2368780745.0,29.0,2.0,59.0,2899.0,73.08,56.16800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'PassEndX', 'Length', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,344143.0,71.715,50.25200000000001,,,,,,,,,,,22.0,Kévin Zohi,False,Vizela,Porto,0.00010719000000000006
,,2.0,59.0,,71.715,50.25200000000001,,,Carry,,,,,426916.0,65.41500000000002,48.144,,,,,,,,,,,13.0,Hugues Zagbayou,False,Vizela,Porto,-0.004771079999999997
2368780765.0,30.0,3.0,2.0,2899.0,65.41500000000002,48.144,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone']","[91, 119, 117, 30, 35, 38, 216, 218]",True,426916.0,54.285000000000004,27.200000000000006,,,,,,,,,,,13.0,Hugues Zagbayou,False,Vizela,Porto,-0.002456040000000003
2368780789.0,31.0,3.0,5.0,2899.0,54.285000000000004,27.200000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,331637.0,65.73,6.392,,,,,,,,,,,3.0,Bruno Wilson,False,Vizela,Porto,0.0005553200000000015
,,3.0,5.0,,65.73,6.392,,,Carry,,,,,342610.0,68.77500000000002,17.0,,,,,,,,,,,39.0,Koffi Kouao,True,Vizela,Porto,0.0012528699999999997
2368780809.0,32.0,3.0,8.0,2899.0,68.77500000000002,17.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Chipped', 'Longball', 'Length', 'Angle', 'PassEndY', 'StandingSave', 'Cross', 'Zone', 'LeftFoot']","[91, 138, 124, 126, 36, 37, 217, 218]",True,342610.0,105.0,51.00000000000002,,,,,,,,,,,39.0,Koffi Kouao,True,Vizela,Porto,0.027773739999999998
2368780933.0,31.0,3.0,21.0,297.0,4.9350000000000005,34.20400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'Length', 'GoalKick', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,373842.0,7.3500000000000005,22.644,,,,,,,,,,,,,False,Vizela,Porto,-0.0005306600000000005
2368780997.0,32.0,3.0,26.0,297.0,11.76,20.808000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,104368.0,3.255000000000001,34.068000000000005,,,,,,,,,,,,,False,Vizela,Porto,-0.0003668899999999999
2368781063.0,33.0,3.0,32.0,297.0,9.66,35.90400000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,373842.0,9.555,20.4,,,,,,,,,,,,,False,Vizela,Porto,-0.0005306600000000005
2368781077.0,34.0,3.0,39.0,297.0,22.365000000000002,21.012,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'PassEndX', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,104368.0,14.28,30.736000000000004,,,,,,,,,,,,,False,Vizela,Porto,0.0008141799999999994
2368781101.0,35.0,3.0,42.0,297.0,14.28,30.736000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,373842.0,17.115000000000002,45.90000000000001,,,,,,,,,,,,,False,Vizela,Porto,-0.0010497700000000002
2368781135.0,36.0,3.0,44.0,297.0,15.540000000000001,40.93600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'Length', 'PassEndY', 'Angle', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,322771.0,7.035,30.872,,,,,,,,,,,,,False,Vizela,Porto,-0.0014166600000000001
2368781173.0,37.0,3.0,49.0,297.0,15.015,30.532,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Length', 'PassEndY', 'Zone', 'Chipped', 'StandingSave', 'PassEndX', 'Angle']","[91, 118, 120, 124, 128, 36, 37, 216, 218]",True,373842.0,43.575,57.596,,,,,,,,,,,,,False,Vizela,Porto,0.0013199700000000002
2368781203.0,34.0,3.0,52.0,2899.0,58.589999999999996,7.752000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'HeadPass', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,426916.0,62.475,7.072000000000001,,,,,,,,,,,13.0,Hugues Zagbayou,False,Vizela,Porto,0.002714640000000001
2368781209.0,35.0,3.0,54.0,2899.0,62.475,7.072000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,421843.0,,,,,,,,,,,,,10.0,Kiko Bondoso,,Vizela,Porto,
,,3.0,54.0,,62.475,7.072000000000001,,,Carry,,,,,421843.0,66.465,10.404000000000002,,,,,,,,,,,10.0,Kiko Bondoso,True,Vizela,Porto,0.0012528699999999997
2368781249.0,36.0,3.0,58.0,2899.0,66.465,10.404000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,421843.0,,,,,,,,,,,,,10.0,Kiko Bondoso,,Vizela,Porto,
2368781257.0,38.0,3.0,59.0,297.0,30.765,47.6,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,114301.0,,,,,,,,,,,,,,,,Vizela,Porto,
2368781291.0,39.0,4.0,0.0,297.0,30.450000000000006,47.80400000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'StandingSave', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,114301.0,38.115,62.764000000000024,,,,,,,,,,,,,False,Vizela,Porto,0.00015804999999999986
2368781305.0,40.0,4.0,5.0,297.0,49.14,63.85200000000001,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,377168.0,46.62,56.84800000000002,,,,,,,,,,,,,False,Vizela,Porto,0.0013619600000000006
