id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2362014663.0,19.0,0.0,54.0,297.0,21.945,4.216,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,342701.0,20.790000000000006,21.624000000000002,,,,,,,,,,,,,False,Portimonense,Porto,0.0015645000000000017
2362014677.0,20.0,0.0,55.0,297.0,23.1,24.072,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Zone', 'PassEndX', 'Angle', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,114301.0,9.45,10.948000000000002,,,,,,,,,,,,,False,Portimonense,Porto,-0.0012271500000000015
2362014703.0,21.0,0.0,57.0,297.0,8.19,10.336000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,104368.0,3.57,28.288000000000004,,,,,,,,,,,,,False,Portimonense,Porto,0.0019098400000000003
2362014729.0,22.0,1.0,0.0,297.0,7.875,32.708000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'Longball', 'StandingSave', 'Chipped', 'PassEndX']","[91, 117, 124, 127, 36, 37, 215, 218]",True,373842.0,27.825000000000006,63.44400000000001,,,,,,,,,,,,,False,Portimonense,Porto,0.00036602999999999983
2362014805.0,23.0,1.0,3.0,297.0,25.725,63.24,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'Length', 'Longball', 'PassEndY', 'PassEndX']","[91, 117, 127, 36, 38, 216, 218]",True,381717.0,50.610000000000014,47.19200000000001,,,,,,,,,,,,,False,Portimonense,Porto,0.005842740000000001
2362014789.0,11.0,1.0,5.0,1463.0,55.86000000000001,16.116,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent', 'Foul']","[91, 63]",True,380545.0,,,,,,,,,,,,,4.0,Willyan,,Portimonense,Porto,
2362014809.0,24.0,1.0,5.0,297.0,49.14,51.884,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Foul', 'StandingSave', 'OppositeRelatedEvent', 'Defensive', 'Zone']",[64],False,377168.0,,,,,,,,,,,,,,,,Portimonense,Porto,
2362015279.0,12.0,1.0,48.0,1463.0,59.64,5.1000000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'FreekickTaken', 'Longball', 'StandingSave', 'PassEndY', 'Length', 'Angle', 'Zone']","[91, 117, 127, 132, 35, 37, 215, 218]",True,308886.0,16.17,29.852,,,,,,,,,,,18.0,Fahd Moufi,False,Portimonense,Porto,-0.003908739999999999
,,1.0,48.0,,16.17,29.852,,,Carry,,,,,310029.0,15.015,27.880000000000006,,,,,,,,,,,94.0,Samuel,False,Portimonense,Porto,0.0
2362015287.0,13.0,1.0,52.0,1463.0,15.015,27.880000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['OppositeRelatedEvent', 'Zone', 'StandingSave', 'Defensive']","[91, 54]",True,310029.0,,,,,,,,,,,,,94.0,Samuel,,Portimonense,Porto,
