id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,isOwnGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2548052665.0,26.0,1.0,54.0,1463,32.025,36.448,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,373524.0,36.330000000000005,48.348,,,,,,,,,,,15.0,Yony González,False,Portimonense,Benfica,0.0013679799999999995
,,1.0,54.0,1463,36.330000000000005,48.348,,,Carry,,,,,297006.0,62.79,62.764,,,,,,,,,,,14.0,Moustapha Seck,True,Portimonense,Benfica,0.004758859999999997
2548052811.0,28.0,2.0,0.0,1463,62.79,62.764,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,297006.0,57.75,62.424,,,,,,,,,,,14.0,Moustapha Seck,False,Portimonense,Benfica,-0.0027146399999999973
,,2.0,0.0,1463,57.75,62.424,,,Carry,,,,,116103.0,58.905,65.008,,,,,,,,,,,7.0,Carlinhos,False,Portimonense,Benfica,0.0
2548052861.0,29.0,2.0,2.0,1463,58.905,65.008,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'Angle', 'PassEndY', 'Zone', 'PassEndX']","[91, 120, 29, 36, 38, 216, 218]",True,116103.0,59.22,60.99600000000001,,,,,,,,,,,7.0,Carlinhos,False,Portimonense,Benfica,
2548052857.0,31.0,2.0,3.0,299,42.21000000000001,6.596,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395802.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548052847.0,30.0,2.0,3.0,299,38.955000000000005,9.452000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,465388.0,41.895,6.664000000000001,,,,,,,,,,,,,False,Portimonense,Benfica,-0.0008845199999999998
2548052911.0,32.0,2.0,3.0,299,42.21000000000001,6.596,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,395802.0,37.695,12.104000000000001,,,,,,,,,,,,,False,Portimonense,Benfica,0.0008845199999999998
2548052939.0,33.0,2.0,9.0,299,56.49,18.496000000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,361961.0,57.54,6.664000000000001,,,,,,,,,,,,,False,Portimonense,Benfica,-0.0021200000000000004
2548052955.0,34.0,2.0,10.0,299,57.645,6.460000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,125476.0,44.1,9.248000000000001,,,,,,,,,,,,,False,Portimonense,Benfica,-0.002588769999999999
2548053015.0,35.0,2.0,11.0,299,44.1,9.248000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'PassEndY', 'Length', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,465388.0,37.800000000000004,3.944,,,,,,,,,,,,,False,Portimonense,Benfica,-0.00258273
2548053037.0,36.0,2.0,13.0,299,42.21000000000001,3.128,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 53]",True,303544.0,,,,,,,,,,,,,,,,Portimonense,Benfica,
2548053067.0,30.0,2.0,14.0,1463,62.79,64.87200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Defensive', 'StandingSave', 'OppositeRelatedEvent', 'Zone']","[91, 142]",True,116103.0,,,,,,,,,,,,,7.0,Carlinhos,,Portimonense,Benfica,
