id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2338946209.0,13.0,1.0,16.0,299.0,60.06,45.08400000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'Zone', 'PassEndX', 'Length', 'StandingSave']","[90, 119, 28, 34, 37, 215, 217]",True,281025.0,57.96000000000002,40.39200000000002,,,,,,,,,,15.0,Roman Yaremchuk,False,Benfica,Portimonense,3.931999999999894e-05
2338946215.0,14.0,1.0,18.0,1463.0,42.42,28.288000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,317741.0,,,,,,,,,,,,,,,Benfica,Portimonense,
2338946233.0,15.0,1.0,20.0,1463.0,42.42,28.288000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Zone', 'Length', 'PassEndX', 'StandingSave']","[90, 116, 29, 35, 37, 215, 217]",True,317741.0,43.155,13.600000000000001,,,,,,,,,,,,False,Benfica,Portimonense,-0.0004792700000000004
2338995753.0,354.0,1.0,21.0,1463.0,44.625,10.812000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'Angle', 'Zone', 'PassEndY', 'StandingSave']","[90, 117, 119, 28, 35, 36, 215, 217]",True,308886.0,51.13500000000001,24.412,,,,,,,,,,,,False,Benfica,Portimonense,0.0021440899999999995
2338946241.0,14.0,1.0,23.0,299.0,59.22,51.68000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[90, 68]",True,142318.0,,,,,,,,,,,,28.0,Julian Weigl,,Benfica,Portimonense,
2338946245.0,16.0,1.0,24.0,1463.0,55.65000000000001,5.78,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'Angle', 'Offensive', 'StandingSave', 'Length', 'OppositeRelatedEvent', 'PassEndX']","[90, 119, 28, 35, 36, 215, 217]",True,308886.0,56.80500000000002,6.188000000000002,,,,,,,,,,,,False,Benfica,Portimonense,0.0
2338946271.0,15.0,1.0,25.0,299.0,48.3,62.764,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'OppositeRelatedEvent', 'Zone']","[90, 59]",True,142318.0,,,,,,,,,,,,28.0,Julian Weigl,,Benfica,Portimonense,
2338946775.0,19.0,1.0,56.0,1463.0,61.53,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ThrowIn', 'Angle', 'PassEndX', 'Length', 'PassEndY', 'Zone']","[90, 211, 35, 36, 215]",True,308886.0,67.83,11.016,,,,,,,,,,,,True,Benfica,Portimonense,0.0039675100000000005
2338946813.0,20.0,1.0,57.0,1463.0,67.83,11.016,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Length', 'Zone', 'StandingSave']","[90, 118, 116, 29, 34, 37, 215, 217]",True,317741.0,64.68,1.7680000000000002,,,,,,,,,,,,False,Benfica,Portimonense,-0.0012528699999999997
2338946849.0,17.0,1.0,58.0,299.0,40.425,63.648,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Defensive', 'Zone']","[90, 59]",True,107252.0,,,,,,,,,,,,3.0,Alejandro Grimaldo,,Benfica,Portimonense,
