id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2332714953.0,5.0,0.0,22.0,122.0,0.0,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",ShieldBallOpp,Successful,['Zone'],[],False,400993.0,,,,,,,,,,,,,,,Benfica,Boavista,
2332714979.0,6.0,0.0,55.0,122.0,4.305,30.056000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['MissHigh', 'Zone', 'Longball', 'Angle', 'GoalKick', 'PassEndY', 'Length', 'PassEndX']","[90, 119, 127, 35, 37, 215, 217]",True,35211.0,68.985,16.116,,,,,,,,,,,,True,Benfica,Boavista,0.00929291
2332714987.0,13.0,0.0,58.0,299.0,38.43,52.224,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone']","[196, 199]",False,21778.0,,,,,,,,,,,,5.0,Jan Vertonghen,,Benfica,Boavista,
2332714985.0,7.0,0.0,58.0,122.0,66.57000000000001,15.776,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[197, 198]",False,404198.0,,,,,,,,,,,,,,,Benfica,Boavista,
2332714997.0,14.0,0.0,58.0,299.0,45.99,53.312000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'PassEndX', 'Length', 'Zone', 'PassEndY', 'Angle']","[90, 118, 116, 29, 138, 35, 36, 215, 217]",True,21778.0,61.845,60.31600000000002,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,0.0008905599999999986
2332715001.0,15.0,1.0,0.0,299.0,62.58000000000001,60.52,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndY', 'HeadPass', 'Length', 'Angle', 'PassEndX']","[90, 119, 28, 138, 35, 37, 216, 217]",True,400828.0,71.61,46.376000000000005,,,,,,,,,,9.0,Darwin Núñez,True,Benfica,Boavista,0.0066717999999999986
2332715029.0,9.0,1.0,2.0,122.0,34.965,31.756000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[90, 117, 119, 127, 35, 37, 215, 217]",True,423077.0,38.85,0.0,,,,,,,,,,,,False,Benfica,Boavista,-6.108999999999976e-05
2332715263.0,36.0,1.0,8.0,299.0,0.0,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",ShieldBallOpp,Successful,['Zone'],[],False,400828.0,,,,,,,,,,,,9.0,Darwin Núñez,,Benfica,Boavista,
2332715043.0,17.0,1.0,13.0,299.0,71.925,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Longball', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'ThrowIn']","[90, 211, 34, 37, 215]",True,107252.0,45.464999999999996,61.54000000000001,,,,,,,,,,3.0,Alejandro Grimaldo,False,Benfica,Boavista,-0.00995862
,,1.0,13.0,,45.464999999999996,61.54000000000001,,,Carry,,,,,21778.0,43.050000000000004,56.44000000000001,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,-0.00033624999999999974
2332715049.0,18.0,1.0,16.0,299.0,43.050000000000004,56.44000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'Angle', 'PassEndY', 'StandingSave']","[90, 116, 29, 34, 37, 215, 217]",True,21778.0,36.225,36.312000000000005,,,,,,,,,,5.0,Jan Vertonghen,False,Benfica,Boavista,-0.00082343
,,1.0,16.0,,36.225,36.312000000000005,,,Carry,,,,,75691.0,35.805,31.28,,,,,,,,,,30.0,Nicolás Otamendi,False,Benfica,Boavista,0.0
