id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isOwnGoal,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2359938625.0,5.0,1.0,7.0,292.0,51.765,34.476000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,387751.0,40.845,15.164,,,,,,,,,,,,False,Belenenses SAD,Benfica,-0.0026987899999999995
2359954775.0,169.0,1.0,10.0,292.0,33.495,8.704,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,369083.0,44.625,2.176,,,,,,,,,,,,False,Belenenses SAD,Benfica,0.0006677699999999998
2359954835.0,170.0,1.0,13.0,292.0,30.555000000000003,1.088,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,423114.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2359938641.0,12.0,1.0,18.0,299.0,66.465,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'ThrowIn', 'Length']","[91, 212, 35, 38, 216]",True,125476.0,59.325,60.58800000000002,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,-0.002714640000000001
,,1.0,18.0,,59.325,60.58800000000002,,,Carry,,,,,142318.0,58.48500000000002,57.18800000000002,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.001382170000000002
2359938679.0,13.0,1.0,20.0,299.0,58.48500000000002,57.18800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Angle', 'PassEndY', 'Longball', 'Length', 'StandingSave']","[91, 119, 117, 127, 36, 38, 216, 218]",True,142318.0,58.800000000000004,4.556,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,-0.001382170000000002
,,1.0,20.0,,58.800000000000004,4.556,,,Carry,,,,,114323.0,61.005,4.760000000000001,,,,,,,,,,22.0,Valentino Lazaro,False,Belenenses SAD,Benfica,0.0
2359938721.0,14.0,1.0,25.0,299.0,61.005,4.760000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Length', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,114323.0,64.78500000000001,7.48,,,,,,,,,,22.0,Valentino Lazaro,False,Belenenses SAD,Benfica,0.002714640000000001
,,1.0,25.0,,64.78500000000001,7.48,,,Carry,,,,,106151.0,66.99,11.764,,,,,,,,,,34.0,André Almeida,False,Belenenses SAD,Benfica,0.0012528699999999997
2359938729.0,15.0,1.0,28.0,299.0,66.99,11.764,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'PassEndX', 'Angle', 'PassEndY']","[91, 119, 117, 30, 35, 37, 216, 218]",True,106151.0,64.365,18.972,,,,,,,,,,34.0,André Almeida,False,Belenenses SAD,Benfica,0.0006478500000000019
2359938753.0,16.0,1.0,29.0,299.0,64.47,18.768,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'StandingSave', 'PassEndY', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,142318.0,66.78,3.944,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,-0.0019007200000000016
2359938807.0,17.0,1.0,33.0,299.0,66.25500000000001,4.828,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Zone', 'Angle', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 35, 37, 216, 218]",True,114323.0,53.97,27.676000000000005,,,,,,,,,,22.0,Valentino Lazaro,False,Belenenses SAD,Benfica,-0.00260462
,,1.0,33.0,,53.97,27.676000000000005,,,Carry,,,,,75691.0,56.38500000000001,29.308000000000003,,,,,,,,,,30.0,Nicolás Otamendi,False,Belenenses SAD,Benfica,0.0
2359938859.0,18.0,1.0,38.0,299.0,56.38500000000001,29.308000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'StandingSave', 'Length', 'PassEndY']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,75691.0,71.925,54.12800000000002,,,,,,,,,,30.0,Nicolás Otamendi,True,Belenenses SAD,Benfica,0.00711993
,,1.0,38.0,,71.925,54.12800000000002,,,Carry,,,,,125476.0,74.13,54.40000000000001,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,0.0
2359938877.0,19.0,1.0,43.0,299.0,74.13,54.40000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'PassEndY']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,125476.0,70.14,42.364000000000004,,,,,,,,,,20.0,João Mário,False,Belenenses SAD,Benfica,-0.004044509999999998
,,1.0,43.0,,70.14,42.364000000000004,,,Carry,,,,,142318.0,70.56,40.188,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.0
2359938901.0,20.0,1.0,45.0,299.0,70.56,40.188,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'StandingSave', 'Length', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,142318.0,79.065,28.42400000000001,,,,,,,,,,28.0,Julian Weigl,False,Belenenses SAD,Benfica,0.0
2359938905.0,21.0,1.0,46.0,299.0,78.75,28.288000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'StandingSave', 'PassEndY', 'Angle', 'Length', 'PassEndX']","[91, 120, 29, 36, 37, 217, 218]",True,74016.0,81.79500000000003,33.388000000000005,,,,,,,,,,14.0,Haris Seferovic,False,Belenenses SAD,Benfica,0.01126177
2359956315.0,185.0,1.0,47.0,292.0,25.095,36.516000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,404907.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2359938923.0,7.0,1.0,48.0,292.0,24.36,37.944,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,404907.0,,,,,,,,,,,,,,,Belenenses SAD,Benfica,
2359938957.0,8.0,1.0,51.0,292.0,30.66,50.728000000000016,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,404907.0,25.30500000000001,62.356000000000016,,,,,,,,,,,,False,Belenenses SAD,Benfica,-0.0026560800000000016
2359938985.0,10.0,1.0,55.0,292.0,24.46500000000001,64.80400000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,411126.0,36.855,64.396,,,,,,,,,,,,False,Belenenses SAD,Benfica,0.0013280500000000008
2359939001.0,11.0,1.0,58.0,292.0,44.94,65.008,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,404907.0,58.589999999999996,66.096,,,,,,,,,,,,False,Belenenses SAD,Benfica,0.002252519999999999
2359939009.0,12.0,2.0,0.0,292.0,57.33000000000001,64.60000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'StandingSave', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,411126.0,40.845,62.356000000000016,,,,,,,,,,,,False,Belenenses SAD,Benfica,-0.0034732899999999987
2359939025.0,13.0,2.0,2.0,292.0,44.415,62.22000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,387751.0,33.18,64.19200000000001,,,,,,,,,,,,False,Belenenses SAD,Benfica,-0.0027068500000000002
2359939031.0,14.0,2.0,4.0,292.0,32.655,64.464,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Angle', 'PassEndX', 'Length', 'PassEndY']","[91, 117, 30, 36, 216, 218]",True,380548.0,42.839999999999996,64.464,,,,,,,,,,,,False,Belenenses SAD,Benfica,0.0014860800000000007
