id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2485496843.0,23.0,2.0,13.0,290,38.325,20.128000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,135962.0,25.935,39.508,,,,,,,,,,26.0,Rúben Fernandes,False,Benfica,Gil Vicente,-0.0025262500000000007
2485496875.0,24.0,2.0,16.0,290,25.935,39.984,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Chipped', 'Length', 'Angle', 'PassEndY', 'Longball', 'PassEndX', 'Zone']","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,124712.0,57.435,58.956,,,,,,,,,,1.0,Stanislav Kritsyuk,True,Benfica,Gil Vicente,0.00457047
2485496895.0,25.0,2.0,19.0,290,57.435,58.956,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'PassEndY', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 120, 29, 139, 36, 37, 216, 218]",True,243271.0,65.52,59.568,,,,,,,,,,19.0,Adrián Marín,False,Benfica,Gil Vicente,
2485496881.0,31.0,2.0,19.0,299,41.895,4.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'HeadPass', 'PassEndY', 'Length', 'Zone', 'PassEndX']","[91, 117, 30, 139, 36, 37, 216, 218]",True,401520.0,46.515,20.672,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0030286099999999993
2485496893.0,32.0,2.0,20.0,299,46.30500000000001,20.536,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,369712.0,,,,,,,,,,,,,,,Benfica,Gil Vicente,
2485496897.0,33.0,2.0,20.0,299,44.83500000000001,21.692,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 118, 120, 29, 36, 37, 216, 218]",True,369712.0,48.825,29.036000000000005,,,,,,,,,,,,False,Benfica,Gil Vicente,
2485496901.0,26.0,2.0,22.0,290,55.545,39.57600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,331609.0,,,,,,,,,,,,21.0,Vitor Carvalho,,Benfica,Gil Vicente,
2485497015.0,27.0,2.0,23.0,290,55.545,39.57600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,331609.0,67.83,50.388,,,,,,,,,,21.0,Vitor Carvalho,False,Benfica,Gil Vicente,0.002456040000000003
,,2.0,23.0,290,67.83,50.388,,,Carry,,,,,244655.0,95.34,63.784000000000006,,,,,,,,,,77.0,Murilo Souza,True,Benfica,Gil Vicente,0.018574579999999997
2485497027.0,28.0,2.0,36.0,290,95.34,63.784000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'Cross', 'PassEndY', 'Chipped', 'PassEndX', 'Angle']","[91, 124, 126, 36, 38, 217, 218]",True,244655.0,100.17000000000002,37.944,,,,,,,,,,77.0,Murilo Souza,True,Benfica,Gil Vicente,
2485497079.0,34.0,2.0,37.0,299,3.8850000000000002,28.016000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 94, 95, 215]",True,443613.0,3.045,0.0,,,,,,,,,,,,,Benfica,Gil Vicente,
2485497193.0,30.0,2.0,50.0,290,97.755,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length', 'ThrowIn']","[91, 212, 35, 38, 217]",True,243271.0,92.08500000000001,59.772000000000006,,,,,,,,,,19.0,Adrián Marín,False,Benfica,Gil Vicente,-0.003075179999999997
,,2.0,50.0,290,92.08500000000001,59.772000000000006,,,Carry,,,,,397499.0,90.405,60.588,,,,,,,,,,57.0,Matheus Bueno,False,Benfica,Gil Vicente,0.0
2485497207.0,31.0,2.0,53.0,290,90.405,60.588,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length']","[91, 120, 29, 36, 37, 217, 218]",True,397499.0,105.0,64.804,,,,,,,,,,57.0,Matheus Bueno,False,Benfica,Gil Vicente,
2485497351.0,37.0,3.0,8.0,299,4.620000000000001,33.728,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'GoalKick', 'PassEndX', 'Zone', 'Length']","[91, 117, 30, 36, 38, 215, 218]",True,110273.0,14.07,25.228,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0003668899999999999
2485497353.0,38.0,3.0,10.0,299,14.07,25.228,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'Angle', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,443613.0,22.575,20.332,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0002355900000000008
2485497361.0,39.0,3.0,11.0,299,24.36,20.536,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,369712.0,23.835,33.728,,,,,,,,,,,,False,Benfica,Gil Vicente,0.00015244999999999842
2485497375.0,40.0,3.0,12.0,299,25.305000000000003,34.272,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,369430.0,27.405,50.11600000000001,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0009391300000000016
2485497401.0,41.0,3.0,15.0,299,29.925,50.79600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 215, 218]",True,75691.0,27.930000000000003,42.772000000000006,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0
2485497431.0,42.0,3.0,18.0,299,36.96000000000001,34.612,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'Angle', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,369430.0,48.825,24.344,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0016648199999999991
2485497453.0,43.0,3.0,21.0,299,62.05500000000001,20.332,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,326505.0,70.98,4.148,,,,,,,,,,,,False,Benfica,Gil Vicente,0.0018699699999999986
2485497479.0,44.0,3.0,26.0,299,81.79500000000002,2.584,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,401520.0,97.02000000000001,21.148000000000003,,,,,,,,,,,,True,Benfica,Gil Vicente,0.03686283
