id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2368132343.0,25.0,2.0,1463.0,310029.0,3.465,32.164,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['Hands', 'ParriedDanger', 'OppositeRelatedEvent', 'StandingSave', 'Zone', 'KeeperSaveInTheBox']","[91, 108, 113, 112, 77, 79, 84, 81]",True,19.0,,,,,,,,,,,,,,,Portimonense,Arouca,
2368132373.0,26.0,2.0,1463.0,308886.0,4.7250000000000005,28.696000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Angle', 'Length']","[91, 94, 95, 215]",True,21.0,15.54,0.0,,,,,,,,,,,,,Portimonense,Arouca,
2368132871.0,28.0,2.0,1463.0,380545.0,5.985,19.448000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'PassEndY', 'Head', 'Length', 'PassEndX', 'Zone']","[91, 94, 95, 57, 215]",True,36.0,31.92,0.0,,,,,,,,,,,,,Portimonense,Arouca,
2368132861.0,21.0,2.0,5948.0,416502.0,80.42999999999999,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'ThrowIn', 'Angle']","[91, 212, 36, 38, 217]",True,36.0,93.135,55.42,,,,,,,,,,6.0,Mateus Quaresma,True,Portimonense,Arouca,0.013106799999999998
2368133101.0,23.0,2.0,5948.0,416502.0,74.655,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ThrowIn', 'Length', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[91, 212, 36, 38, 217]",True,45.0,81.16500000000002,62.424,,,,,,,,,,6.0,Mateus Quaresma,False,Portimonense,Arouca,0.00634183
2368133129.0,24.0,2.0,5948.0,323573.0,81.48,62.56,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,47.0,77.28,65.28,,,,,,,,,,14.0,Pité,False,Portimonense,Arouca,-0.00634183
2368133173.0,25.0,2.0,5948.0,416502.0,77.28,65.28,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Zone', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,48.0,83.37,54.876000000000005,,,,,,,,,,6.0,Mateus Quaresma,True,Portimonense,Arouca,0.008311429999999998
,,2.0,,351703.0,83.37,54.876000000000005,,,Carry,,,,,48.0,86.10000000000001,53.44800000000002,,,,,,,,,,7.0,André Silva,False,Portimonense,Arouca,0.0
2368133221.0,26.0,2.0,5948.0,351703.0,86.10000000000001,53.44800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'PassEndY', 'PassEndX', 'Zone']","[91, 120, 29, 36, 217, 218]",True,50.0,90.405,53.44800000000002,,,,,,,,,,7.0,André Silva,False,Portimonense,Arouca,0.0111372
2368133245.0,30.0,2.0,1463.0,360107.0,10.605,15.64,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,52.0,,,,,,,,,,,,,,,Portimonense,Arouca,
