id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,isGoal,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2375351989.0,22.0,0.0,55.0,5948.0,36.225,63.64800000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'OppositeRelatedEvent', 'PassEndX', 'Length', 'Zone', 'Offensive', 'StandingSave']","[91, 118, 120, 29, 36, 38, 216, 218]",True,416502.0,38.32500000000001,63.376000000000005,,,,,,,,,,6.0,Mateus Quaresma,False,Arouca,Benfica,0.0
2375351995.0,13.0,0.0,56.0,299.0,73.92000000000002,2.9920000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135127.0,,,,,,,,,,,,,,,Arouca,Benfica,
2375352023.0,14.0,1.0,1.0,299.0,77.175,9.656,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'PassEndY', 'Length', 'StandingSave']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,135127.0,74.44500000000001,16.388,,,,,,,,,,,,False,Arouca,Benfica,0.0
2375352047.0,15.0,1.0,1.0,299.0,74.44500000000001,16.388,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Zone', 'StandingSave', 'PassEndY', 'Length']","[91, 119, 117, 30, 205, 38, 217, 218]",True,407139.0,74.44500000000001,2.5160000000000005,,,,,,,,,,,,False,Arouca,Benfica,-0.0027939199999999983
2375352065.0,16.0,1.0,3.0,299.0,74.235,2.5160000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 35, 37, 216, 218]",True,114323.0,56.38500000000001,9.112,,,,,,,,,,,,False,Arouca,Benfica,-0.005103159999999999
2375352105.0,17.0,1.0,6.0,299.0,56.38500000000001,9.112,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,75691.0,49.77,34.068000000000005,,,,,,,,,,,,False,Arouca,Benfica,-0.0012721500000000014
2375352125.0,18.0,1.0,10.0,299.0,54.495,37.128,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,21778.0,55.230000000000004,22.916000000000004,,,,,,,,,,,,False,Arouca,Benfica,-3.931999999999894e-05
2375352157.0,19.0,1.0,13.0,299.0,56.38500000000001,22.508000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'StandingSave', 'Length', 'Angle', 'PassEndX']","[91, 119, 117, 30, 36, 38, 216, 218]",True,75691.0,65.52,2.3800000000000003,,,,,,,,,,,,False,Arouca,Benfica,0.0005946400000000004
2375352183.0,20.0,1.0,16.0,299.0,64.365,5.44,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'Zone', 'StandingSave', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,114323.0,48.089999999999996,21.964,,,,,,,,,,,,False,Arouca,Benfica,-0.00315932
2375352225.0,21.0,1.0,20.0,299.0,49.45500000000001,25.024000000000008,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Length', 'Zone', 'PassEndX', 'Angle']","[91, 119, 117, 30, 36, 37, 216, 218]",True,75691.0,55.33500000000002,51.816,,,,,,,,,,,,False,Arouca,Benfica,0.0018268500000000014
2375352243.0,22.0,1.0,24.0,299.0,59.64,55.48800000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Zone']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,21778.0,77.49,66.70800000000003,,,,,,,,,,,,False,Arouca,Benfica,0.005103159999999999
2375352267.0,23.0,1.0,26.0,299.0,76.65000000000002,66.84400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'StandingSave', 'Zone']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,107252.0,75.39,60.11200000000001,,,,,,,,,,,,False,Arouca,Benfica,0.0
2375352347.0,24.0,1.0,29.0,299.0,72.765,58.14000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['StandingSave', 'PlayerCaughtOffside', 'Zone', 'PassEndY', 'PassEndX']","[91, 217]",True,125476.0,102.375,53.448,,,,,,,,,,,,,Arouca,Benfica,
2375352411.0,24.0,1.0,29.0,5948.0,28.875,33.932,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,83058.0,,,,,,,,,,,,53.0,Abdoulaye Ba,,Arouca,Benfica,
2375363347.0,11024.0,1.0,,299.0,102.375,53.448,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,400828.0,,,,,,,,,,,,,,,Arouca,Benfica,
