id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387379099.0,31.0,2.0,5948.0,316658.0,44.415,15.436,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndY', 'StandingSave', 'Length', 'PassEndX', 'FreekickTaken']","[91, 117, 30, 132, 35, 37, 216, 218]",True,13.0,38.43,34.068000000000005,,,,,,,,,,,,False,Arouca,Moreirense,0.0004792700000000004
2387379115.0,21.0,2.0,108.0,363792.0,59.43000000000001,28.628000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,17.0,,,,,,,,,,,,9.0,André Luís,,Arouca,Moreirense,
2387379107.0,32.0,2.0,5948.0,36712.0,36.330000000000005,40.66400000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'Chipped']","[91, 118, 120, 29, 124, 36, 38, 216, 218]",True,17.0,43.26000000000001,39.98400000000001,,,,,,,,,,,,False,Arouca,Moreirense,0.0013027000000000004
2387379201.0,33.0,2.0,5948.0,291654.0,23.31,39.78,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'PassEndY', 'Length', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,23.0,28.98000000000001,16.796,,,,,,,,,,,,False,Arouca,Moreirense,0.0004294100000000016
2387379243.0,34.0,2.0,5948.0,326486.0,30.975,15.912000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,26.0,40.635000000000005,16.32,,,,,,,,,,,,False,Arouca,Moreirense,0.0015522899999999996
2387379263.0,35.0,2.0,5948.0,243573.0,40.95000000000001,16.32,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'Zone', 'Angle', 'PassEndX']","[91, 117, 30, 35, 37, 215, 218]",True,27.0,33.495,16.388,,,,,,,,,,,,False,Arouca,Moreirense,-0.0015522899999999996
2387379301.0,36.0,2.0,5948.0,326486.0,35.910000000000004,29.852,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,31.0,38.32500000000001,50.592000000000006,,,,,,,,,,,,False,Arouca,Moreirense,0.0013679799999999995
2387379341.0,37.0,2.0,5948.0,401804.0,45.78,53.176000000000016,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,36.0,64.575,66.096,,,,,,,,,,,,False,Arouca,Moreirense,0.0036051999999999994
2387379373.0,38.0,2.0,5948.0,416502.0,63.42,62.96800000000002,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'StandingSave', 'Zone', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,40.0,43.365,44.47200000000001,,,,,,,,,,,,False,Arouca,Moreirense,-0.00475886
2387379393.0,39.0,2.0,5948.0,326486.0,48.51000000000001,44.88,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 120, 29, 36, 37, 216, 218]",True,43.0,64.575,63.376000000000005,,,,,,,,,,,,False,Arouca,Moreirense,0.00315932
