id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2372640069.0,15.0,0.0,52.0,935.0,47.565,33.252,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']","[198, 200]",False,400243.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372640081.0,12.0,0.0,52.0,288.0,58.065,35.02000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'LayOff', 'PassEndY', 'HeadPass', 'Angle', 'PassEndX']","[91, 117, 30, 139, 35, 38, 216, 218]",True,430433.0,36.855,26.860000000000007,,,,,,,,,,96.0,Miguel Falé,False,Braga,Famalicao,-0.004268819999999998
2372640085.0,13.0,0.0,54.0,288.0,36.855,26.860000000000007,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'Angle']","[91, 120, 29, 36, 37, 216, 218]",True,83475.0,56.7,39.916,,,,,,,,,,15.0,Paulo Oliveira,True,Braga,Famalicao,0.004268819999999998
2372640091.0,16.0,0.0,55.0,935.0,54.18000000000001,30.532,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,316532.0,,,,,,,,,,,,,,,Braga,Famalicao,
2372640109.0,17.0,0.0,55.0,935.0,54.180000000000014,30.532,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Zone', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,316532.0,57.33000000000001,37.33200000000001,,,,,,,,,,,,False,Braga,Famalicao,0.0
2372640117.0,18.0,0.0,59.0,935.0,48.089999999999996,28.220000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'StandingSave', 'PassEndY', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,344716.0,38.115,22.1,,,,,,,,,,,,False,Braga,Famalicao,-0.00215424
2372640127.0,19.0,1.0,2.0,935.0,32.025,17.408,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,422248.0,11.76,31.484000000000005,,,,,,,,,,,,False,Braga,Famalicao,-0.00027740000000000056
2372640143.0,20.0,1.0,5.0,935.0,12.18,31.076000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'Length', 'PassEndY', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,400826.0,22.47,7.684000000000001,,,,,,,,,,,,False,Braga,Famalicao,-0.002378680000000001
2372640167.0,21.0,1.0,9.0,935.0,24.044999999999998,6.256000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Chipped', 'Length', 'PassEndX', 'StandingSave', 'Zone', 'Longball', 'Angle']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,422248.0,71.08500000000001,12.58,,,,,,,,,,,,True,Braga,Famalicao,0.01556667
2372640169.0,22.0,1.0,11.0,935.0,69.825,14.824000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[197, 199]",False,300483.0,,,,,,,,,,,,,,,Braga,Famalicao,
