id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2353440985.0,9.0,0.0,42.0,288.0,56.28,5.576,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Length', 'Longball', 'StandingSave', 'Zone', 'Angle']","[90, 119, 127, 35, 36, 215, 217]",True,83475.0,69.09,18.972,,,,,,,,,,15.0,Paulo Oliveira,True,Benfica,Braga,0.004615360000000002
,,0.0,42.0,,59.115,8.024000000000001,,,Carry,,,,,83475.0,56.28,5.576,,,,,,,,,,15.0,Paulo Oliveira,False,Benfica,Braga,0.0
2353441077.0,18.0,0.0,44.0,299.0,32.655,49.50400000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'HeadPass', 'PassEndY', 'Angle', 'Length', 'StandingSave']","[90, 117, 119, 28, 138, 35, 36, 215, 217]",True,142318.0,40.845,51.40800000000001,,,,,,,,,,,,False,Benfica,Braga,0.0010425699999999996
2353441081.0,19.0,0.0,46.0,299.0,41.79,51.748,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Foul', 'Zone', 'OppositeRelatedEvent', 'Offensive']","[90, 62]",True,146760.0,,,,,,,,,,,,,,,Benfica,Braga,
2353441119.0,10.0,0.0,46.0,288.0,63.21000000000001,16.252,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['OppositeRelatedEvent', 'Defensive', 'Foul', 'StandingSave', 'Zone']",[63],False,395940.0,,,,,,,,,,,,70.0,Fabiano,,Benfica,Braga,
2353441375.0,20.0,1.0,6.0,299.0,41.895,50.32,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'StandingSave', 'Length', 'PassEndY', 'FreekickTaken', 'Zone']","[90, 116, 29, 131, 34, 37, 215, 217]",True,125476.0,35.07,35.22400000000001,,,,,,,,,,,,False,Benfica,Braga,-0.0013679799999999995
2353441425.0,21.0,1.0,11.0,299.0,35.28,33.388000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Zone', 'Angle', 'StandingSave', 'PassEndY']","[90, 116, 29, 35, 37, 215, 217]",True,75691.0,35.910000000000004,16.66,,,,,,,,,,,,False,Benfica,Braga,-0.0007288599999999996
2353441469.0,22.0,1.0,14.0,299.0,36.330000000000005,15.436,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'PassEndY', 'Longball', 'Zone', 'PassEndX', 'Angle', 'StandingSave', 'Length']","[90, 119, 123, 127, 35, 37, 216, 217]",True,300640.0,75.705,10.948000000000002,,,,,,,,,,,,True,Benfica,Braga,0.013420309999999998
2353441505.0,11.0,1.0,17.0,288.0,22.995,51.74800000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'Zone', 'PassEndY', 'Angle', 'PassEndX']","[90, 117, 119, 28, 35, 36, 214, 217]",True,361852.0,32.34,54.06,,,,,,,,,,4.0,Diogo Leite,False,Benfica,Braga,0.0011710800000000014
2353441487.0,23.0,1.0,18.0,299.0,72.24,9.928,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[90, 68]",True,135127.0,,,,,,,,,,,,,,,Benfica,Braga,
2353481337.0,422.0,1.0,20.0,288.0,38.43,58.276,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'PassEndX', 'StandingSave', 'Angle']","[90, 116, 29, 34, 36, 215, 217]",True,127130.0,37.275,66.64,,,,,,,,,,21.0,Ricardo Horta,False,Benfica,Braga,-0.0008845199999999998
,,1.0,20.0,,37.275,66.64,,,Carry,,,,,347204.0,29.715000000000007,59.43200000000001,,,,,,,,,,90.0,Galeno,False,Benfica,Braga,-0.0006677699999999998
