id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2421120989.0,19.0,2.0,45.0,935.0,27.825000000000006,37.128,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Zone', 'PassEndX', 'PassEndY', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,380619.0,29.715000000000007,53.992,,,,,,,,,,,,False,Famalicao,Braga,-0.0007288599999999996
2421121001.0,20.0,2.0,49.0,935.0,38.010000000000005,56.03200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 216, 218]",True,365413.0,41.58000000000001,50.660000000000004,,,,,,,,,,,,False,Famalicao,Braga,0.0005445499999999995
2421121029.0,21.0,2.0,51.0,935.0,41.58000000000001,50.660000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Angle', 'PassEndY', 'Zone']","[91, 117, 30, 35, 37, 215, 218]",True,344716.0,33.6,55.76000000000001,,,,,,,,,,,,False,Famalicao,Braga,-0.002096839999999999
2421121081.0,22.0,2.0,56.0,935.0,35.07,56.168000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'Zone', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 117, 30, 36, 38, 216, 218]",True,365413.0,51.765,51.40800000000001,,,,,,,,,,,,False,Famalicao,Braga,0.0032505
2421121105.0,23.0,3.0,1.0,935.0,55.545,56.44000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Chipped', 'Length', 'Angle', 'StandingSave', 'Longball']","[91, 119, 117, 124, 127, 205, 36, 38, 217, 218]",True,300483.0,70.66500000000002,10.540000000000001,,,,,,,,,,,,True,Famalicao,Braga,0.007897079999999997
2421121115.0,24.0,3.0,5.0,935.0,71.40000000000002,8.976000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,361962.0,48.930000000000014,8.908000000000003,,,,,,,,,,,,False,Famalicao,Braga,-0.010169809999999998
2421121131.0,25.0,3.0,7.0,935.0,48.930000000000014,8.908000000000003,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,422248.0,54.915,20.4,,,,,,,,,,,,False,Famalicao,Braga,0.003010559999999999
2421121167.0,26.0,3.0,10.0,935.0,56.595,20.672000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,344716.0,60.90000000000001,23.732,,,,,,,,,,,,False,Famalicao,Braga,0.0
2421121199.0,27.0,3.0,15.0,935.0,58.27500000000001,33.728,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'StandingSave', 'Angle', 'PassEndX', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,142352.0,61.110000000000014,22.304,,,,,,,,,,,,False,Famalicao,Braga,-3.931999999999894e-05
2421121241.0,28.0,3.0,19.0,935.0,64.89,20.196000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'PassEndX', 'Throughball', 'Zone', 'PassEndY', 'Angle', 'Length']","[91, 120, 29, 130, 36, 37, 217, 218]",True,344716.0,94.92000000000003,24.684000000000005,,,,,,,,,,,,True,Famalicao,Braga,0.035560060000000004
