id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2328284941.0,12.0,0.0,53.0,786.0,87.57000000000001,45.084,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[92],False,131384.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328285097.0,13.0,0.0,54.0,786.0,91.14,43.656000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Zone', 'StandingSave', 'Offensive', 'OppositeRelatedEvent']","[90, 53]",True,131384.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328285045.0,14.0,0.0,54.0,288.0,13.86,24.344,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Defensive', 'Zone', 'OppositeRelatedEvent']",[54],False,363935.0,,,,,,,,,,,3.0,Vítor Tormena,,Pacos de Ferreira,Braga,
2328285211.0,14.0,0.0,58.0,786.0,102.165,53.176000000000016,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[90, 118, 116, 29, 204, 34, 36, 216, 217]",True,131384.0,95.13,63.17200000000001,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.011626489999999996
2328285269.0,15.0,1.0,3.0,288.0,5.25,23.12,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[90, 100, 101, 55]",True,381792.0,,,,,,,,,,,8.0,Al Musrati,,Pacos de Ferreira,Braga,
2328285251.0,15.0,1.0,3.0,786.0,101.64,58.68400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndY', 'StandingSave', 'LeftFoot', 'Length', 'Zone', 'Cross', 'PassEndX']","[90, 137, 125, 34, 37, 216, 217]",True,23621.0,100.065,46.98800000000001,,,,,,,,,,,True,Pacos de Ferreira,Braga,0.017948739999999998
2328286313.0,16.0,1.0,4.0,288.0,9.66,15.844,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle', 'StandingSave']","[90, 93, 94, 215]",True,127130.0,44.83500000000001,3.5360000000000005,,,,,,,,,21.0,Ricardo Horta,,Pacos de Ferreira,Braga,
2328285397.0,16.0,1.0,5.0,786.0,71.29500000000002,54.400000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[90],True,351744.0,,,,,,,,,,,,,,Pacos de Ferreira,Braga,
2328285607.0,17.0,1.0,8.0,786.0,52.815,65.48400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Angle', 'PassEndY', 'StandingSave', 'Zone']","[90, 116, 29, 34, 37, 214, 217]",True,380682.0,28.245,48.55200000000001,,,,,,,,,,,False,Pacos de Ferreira,Braga,-0.0036313399999999985
2328285729.0,18.0,1.0,12.0,786.0,27.72,48.348000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle', 'StandingSave']","[90, 116, 29, 35, 37, 214, 217]",True,364187.0,33.285000000000004,30.056000000000004,,,,,,,,,,,False,Pacos de Ferreira,Braga,0.0002191399999999996
