id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isGoal,isShot,blockedX,blockedY,relatedEventId,relatedPlayerId,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2387272513.0,17.0,0.0,46.0,296.0,59.115,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'ThrowIn', 'Angle', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 212, 35, 37, 216]",True,362352.0,36.960000000000015,2.924,,,,,,,,,,24.0,Pedro Porro,False,Maritimo,Sporting,-0.0034732899999999987
,,0.0,46.0,,36.960000000000015,2.924,,,Carry,,,,,395992.0,36.435,8.976000000000003,,,,,,,,,,25.0,Gonçalo Inácio,False,Maritimo,Sporting,0.0008845199999999998
2387272533.0,18.0,0.0,49.0,296.0,36.435,8.976000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,395992.0,37.38,24.14,,,,,,,,,,25.0,Gonçalo Inácio,False,Maritimo,Sporting,0.0005445499999999995
2387272597.0,19.0,0.0,52.0,296.0,37.38,24.14,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,71268.0,44.1,46.30800000000001,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,0.0
,,0.0,52.0,,44.1,46.30800000000001,,,Carry,,,,,283978.0,48.825,46.30800000000001,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,0.00159954
2387272639.0,20.0,0.0,57.0,296.0,48.825,46.30800000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,283978.0,37.695,34.476000000000006,,,,,,,,,,2.0,Matheus Reis,False,Maritimo,Sporting,-0.0016648199999999991
,,0.0,57.0,,37.695,34.476000000000006,,,Carry,,,,,71268.0,36.960000000000015,32.300000000000004,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,0.0
2387272715.0,21.0,1.0,0.0,296.0,36.960000000000015,32.300000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'Zone', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,71268.0,34.86000000000001,19.380000000000003,,,,,,,,,,4.0,Sebastián Coates,False,Maritimo,Sporting,-0.00152184
2387272823.0,22.0,1.0,3.0,296.0,34.545,20.604000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Longball', 'PassEndY', 'Angle', 'Chipped', 'Zone', 'Length']","[91, 119, 117, 124, 127, 36, 37, 216, 218]",True,395992.0,67.2,64.19200000000001,,,,,,,,,,25.0,Gonçalo Inácio,True,Maritimo,Sporting,0.006345979999999999
2387272893.0,23.0,1.0,10.0,296.0,68.25,64.60000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Length', 'PassEndY', 'Angle', 'StandingSave', 'Zone', 'PassEndX']","[91, 120, 128, 36, 38, 217, 218]",True,394933.0,98.07000000000001,51.74800000000001,,,,,,,,,,8.0,Matheus Nunes,True,Maritimo,Sporting,0.029026609999999998
