id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,shirtNo,name,progressive,homeTeam,awayTeam,xT
2483111715.0,18.0,2.0,27.0,2008,47.25,44.812000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 36, 37, 216, 218]",True,323355.0,69.405,60.18000000000001,,,,,,,,,,,False,Chaves,Santa Clara,0.00693001
2483111729.0,19.0,2.0,33.0,2008,76.23,55.828,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Chipped', 'Length', 'Zone', 'Cross', 'Longball', 'Angle', 'PassEndY']","[91, 124, 126, 36, 38, 217, 218]",True,255627.0,93.87,25.976000000000003,,,,,,,,,,,True,Chaves,Santa Clara,
2483111733.0,26.0,2.0,35.0,251,14.91,45.15200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndX', 'Zone', 'Length', 'PassEndY', 'Head', 'Angle']","[91, 94, 95, 57, 215]",True,369884.0,31.395,36.108000000000004,,,,,,,,,3.0,Xavier Quintillá,,Chaves,Santa Clara,
2483111763.0,28.0,2.0,36.0,251,33.18,34.68,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,416885.0,,,,,,,,,,,80.0,Victor Bobsin,,Chaves,Santa Clara,
2483111751.0,27.0,2.0,37.0,251,33.18,34.68,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,416885.0,,,,,,,,,,,80.0,Victor Bobsin,,Chaves,Santa Clara,
2483111753.0,20.0,2.0,38.0,2008,74.235,31.008000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,232384.0,,,,,,,,,,,,,,Chaves,Santa Clara,
2483111777.0,21.0,2.0,39.0,2008,74.235,31.008000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Angle', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,232384.0,84.84,11.628000000000002,,,,,,,,,,,False,Chaves,Santa Clara,0.005681229999999999
2483111797.0,22.0,2.0,41.0,2008,96.39,15.232,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Length', 'ShotAssist', 'Angle', 'IntentionalAssist', 'PassEndX', 'KeyPass']","[91, 119, 117, 30, 123, 205, 40, 46, 35, 37, 217, 218]",True,444824.0,93.55499999999999,32.912,,,,,,,,,,,False,Chaves,Santa Clara,0.06157381
2483111801.0,23.0,2.0,42.0,2008,90.09,31.416000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['RegularPlay', 'BlockedX', 'RelatedEventId', 'GoalMouthZ', 'OppositeRelatedEvent', 'Assisted', 'IntentionalAssist', 'Blocked', 'BoxCentre', 'Zone', 'LowCentre', 'GoalMouthY', 'LeftFoot', 'BlockedY']","[91, 10, 1, 3, 11, 13]",True,255627.0,,,,22.0,444824.0,88.1,46.9,19.0,50.7,True,,,,Chaves,Santa Clara,
2483119487.0,210.0,2.0,42.0,251,14.07,36.312000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['OppositeRelatedEvent', 'Zone', 'OutfielderBlock']","[91, 58]",True,378828.0,,,,,,,,,,,20.0,Adriano,,Chaves,Santa Clara,
