id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482784795.0,15.0,0.0,34.0,299,36.75,38.760000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Chipped', 'PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 120, 124, 128, 36, 37, 217, 218]",True,75691.0,92.505,60.52,,,,,,,,,30.0,Nicolás Otamendi,True,Estoril,Benfica,
2482784845.0,3.0,0.0,40.0,2188,10.709999999999999,9.588000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY']","[91, 94, 95, 215]",True,421890.0,12.18,0.0,,,,,,,,,,,,Estoril,Benfica,
2482784961.0,17.0,0.0,48.0,299,93.45,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'ThrowIn', 'PassEndY', 'PassEndX']","[91, 212, 35, 38, 217]",True,107252.0,90.19500000000001,60.452000000000005,,,,,,,,,3.0,Alejandro Grimaldo,False,Estoril,Benfica,0.0
2482784977.0,18.0,0.0,49.0,299,90.19500000000001,60.452000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,361961.0,87.57000000000001,62.628,,,,,,,,,22.0,Chiquinho,False,Estoril,Benfica,0.0
2482785031.0,19.0,0.0,50.0,299,88.41000000000001,62.628,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,107252.0,81.06,63.03600000000001,,,,,,,,,3.0,Alejandro Grimaldo,False,Estoril,Benfica,-0.007287600000000002
,,0.0,50.0,299,81.06,63.03600000000001,,,Carry,,,,,369430.0,77.175,60.452000000000005,,,,,,,,,13.0,Enzo Fernández,False,Estoril,Benfica,-0.00634183
2482785083.0,20.0,0.0,54.0,299,77.175,60.452000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'Longball']","[91, 119, 117, 127, 35, 38, 216, 218]",True,369430.0,58.17,29.852,,,,,,,,,13.0,Enzo Fernández,False,Estoril,Benfica,-0.004326010000000002
,,0.0,54.0,299,58.17,29.852,,,Carry,,,,,443613.0,58.275000000000006,25.840000000000003,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0
2482785103.0,21.0,0.0,57.0,299,58.275000000000006,25.840000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,443613.0,62.265,5.984000000000001,,,,,,,,,66.0,António Silva,False,Estoril,Benfica,0.0005553200000000015
2482785143.0,22.0,1.0,0.0,299,62.265,5.984000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndY', 'PassEndX', 'Zone', 'Angle']","[91, 119, 117, 30, 37, 216, 218]",True,401520.0,62.265,15.096,,,,,,,,,6.0,Alexander Bah,False,Estoril,Benfica,0.0012528699999999997
