id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,0.0,299,125476.0,58.695,7.48,,,Carry,,,,,2.0,56.80500000000001,5.916,,,,,,,,,,20.0,João Mário,False,Maritimo,Benfica,0.0
2519429281.0,6.0,0.0,299,125476.0,56.80500000000001,5.916,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[91, 70]",True,6.0,,,,,,,,,,,,20.0,João Mário,,Maritimo,Benfica,
2519429259.0,3.0,0.0,264,388653.0,48.195,62.084,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Defensive']","[91, 143]",True,6.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519429263.0,4.0,0.0,264,388653.0,60.58500000000001,61.744,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,7.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519429285.0,5.0,0.0,264,388653.0,61.005,59.160000000000004,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,9.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519429333.0,6.0,0.0,264,371582.0,62.160000000000004,55.760000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'Angle']","[91, 119, 117, 30, 35, 38, 216, 218]",True,12.0,57.645,50.79600000000001,,,,,,,,,,,,False,Maritimo,Benfica,-0.0018475100000000001
2519429357.0,7.0,0.0,264,123359.0,57.435,50.184000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndY', 'Length', 'Angle', 'Zone', 'PassEndX']","[91, 119, 117, 30, 35, 38, 216, 218]",True,14.0,56.80500000000001,41.072,,,,,,,,,,,,False,Maritimo,Benfica,3.931999999999894e-05
2519429375.0,8.0,0.0,264,335707.0,55.755,40.392,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'Angle', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,15.0,44.730000000000004,21.692,,,,,,,,,,,,False,Maritimo,Benfica,-0.0026039999999999987
2519429419.0,9.0,0.0,264,137058.0,44.83500000000001,21.352,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'Length', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 36, 38, 216, 218]",True,18.0,65.52,2.788,,,,,,,,,,,,False,Maritimo,Benfica,0.0031593199999999967
2519429447.0,10.0,0.0,264,101952.0,66.885,11.764000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'Length', 'PassEndX', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,23.0,75.39,14.620000000000001,,,,,,,,,,,,False,Maritimo,Benfica,0.005311739999999999
2519429761.0,15.0,0.0,264,371582.0,80.64,17.816000000000003,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'PlayerCaughtOffside', 'PassEndY']","[91, 217]",True,24.0,88.515,17.952,,,,,,,,,,,,,Maritimo,Benfica,
2519429473.0,7.0,0.0,299,401520.0,25.725,22.032,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,24.0,,,,,,,,,,,,6.0,Alexander Bah,,Maritimo,Benfica,
2519429763.0,8.0,0.0,299,110273.0,8.4,34.408,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndY', 'Zone', 'IndirectFreekickTaken', 'FreekickTaken', 'PassEndX', 'StandingSave']","[91, 117, 30, 132, 36, 38, 215, 218]",True,47.0,11.340000000000002,18.428,,,,,,,,,,99.0,Odysseas Vlachodimos,False,Maritimo,Benfica,0.0003668899999999999
2519429789.0,9.0,0.0,299,443613.0,12.075000000000001,17.544,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Length', 'StandingSave', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,48.0,22.47,4.556,,,,,,,,,,66.0,António Silva,False,Maritimo,Benfica,-0.0013289100000000009
,,0.0,299,401520.0,22.47,4.556,,,Carry,,,,,48.0,34.65,5.1000000000000005,,,,,,,,,,6.0,Alexander Bah,True,Maritimo,Benfica,0.0013280500000000008
2519429793.0,10.0,0.0,299,401520.0,34.65,5.1000000000000005,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Defensive', 'Foul', 'Zone']","[91, 63]",True,54.0,,,,,,,,,,,,6.0,Alexander Bah,,Maritimo,Benfica,
2519429847.0,16.0,0.0,264,329366.0,70.35000000000001,62.900000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Zone', 'StandingSave', 'Offensive', 'Foul', 'OppositeRelatedEvent']",[64],False,54.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519440761.0,11015.0,0.0,264,388653.0,88.515,17.952,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,,,,Maritimo,Benfica,
2519429967.0,11.0,1.0,299,401520.0,25.41,3.808,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['FreekickTaken', 'Angle', 'Zone', 'Length', 'StandingSave', 'PassEndX', 'PassEndY']","[91, 117, 30, 132, 35, 37, 215, 218]",True,6.0,22.89,10.540000000000001,,,,,,,,,,6.0,Alexander Bah,False,Maritimo,Benfica,0.0009752800000000002
2519429973.0,12.0,1.0,299,443613.0,22.89,10.540000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,6.0,28.980000000000004,2.3800000000000003,,,,,,,,,,66.0,António Silva,False,Maritimo,Benfica,0.0003527700000000005
2519429983.0,13.0,1.0,299,401520.0,28.980000000000004,2.3800000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,9.0,37.065,1.564,,,,,,,,,,6.0,Alexander Bah,False,Maritimo,Benfica,0.0014860800000000007
2519429991.0,14.0,1.0,299,125476.0,37.065,1.564,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[91, 117, 30, 35, 37, 216, 218]",True,11.0,35.805,2.9920000000000004,,,,,,,,,,20.0,João Mário,False,Maritimo,Benfica,-0.0014860800000000007
2519430011.0,15.0,1.0,299,401520.0,35.7,2.9920000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,12.0,41.475,3.3320000000000003,,,,,,,,,,6.0,Alexander Bah,False,Maritimo,Benfica,0.0
2519430021.0,16.0,1.0,299,395802.0,41.580000000000005,3.3320000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'Angle', 'LayOff', 'StandingSave']","[91, 117, 30, 35, 38, 216, 218]",True,12.0,38.955000000000005,1.564,,,,,,,,,,88.0,Gonçalo Ramos,False,Maritimo,Benfica,0.0
2519430039.0,17.0,1.0,299,125476.0,40.425000000000004,1.564,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Zone', 'Angle']","[91, 120, 128, 36, 37, 217, 218]",True,13.0,74.655,2.72,,,,,,,,,,20.0,João Mário,True,Maritimo,Benfica,
2519430077.0,17.0,1.0,264,300848.0,30.03,61.88,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,17.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519430103.0,18.0,1.0,264,300848.0,30.03,61.88,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'Angle', 'Zone', 'PassEndY', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,17.0,7.455,45.424,,,,,,,,,,,,False,Maritimo,Benfica,-0.0008966900000000003
2519430143.0,19.0,1.0,264,86730.0,7.455,45.900000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Longball', 'Zone', 'PassEndX', 'PassEndY', 'Length']","[91, 118, 120, 128, 36, 37, 216, 218]",True,19.0,45.464999999999996,64.26,,,,,,,,,,,,True,Maritimo,Benfica,
2519430121.0,18.0,1.0,299,401520.0,59.85,4.896000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[197, 199]",False,22.0,,,,,,,,,,,,6.0,Alexander Bah,,Maritimo,Benfica,
2519430147.0,20.0,1.0,264,388653.0,45.15,63.104,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Zone', 'Defensive', 'OppositeRelatedEvent']","[198, 200]",False,22.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519430131.0,19.0,1.0,299,401520.0,59.85,5.78,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'PassEndX', 'PassEndY', 'Length', 'Zone', 'HeadPass']","[91, 120, 29, 139, 36, 37, 217, 218]",True,22.0,75.495,16.796,,,,,,,,,,6.0,Alexander Bah,True,Maritimo,Benfica,
2519466681.0,400.0,1.0,264,300848.0,29.925,49.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Zone', 'Length', 'PassEndY', 'PassEndX', 'HeadPass']","[91, 118, 120, 29, 139, 36, 38, 216, 218]",True,24.0,45.255,49.164,,,,,,,,,,,,False,Maritimo,Benfica,
2519430153.0,20.0,1.0,299,361961.0,69.825,21.42,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['StandingSave', 'Zone']","[91, 101, 56]",True,25.0,,,,,,,,,,,,22.0,Chiquinho,,Maritimo,Benfica,
2519430187.0,21.0,1.0,299,395802.0,71.505,20.060000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'PassEndX', 'Zone', 'PassEndY', 'Length']","[91, 120, 29, 38, 217, 218]",True,26.0,71.505,19.856,,,,,,,,,,88.0,Gonçalo Ramos,False,Maritimo,Benfica,
2519430273.0,23.0,1.0,264,329366.0,35.175000000000004,64.87200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Angle', 'PassEndY', 'PassEndX', 'Length', 'Zone', 'StandingSave', 'Chipped']","[91, 120, 124, 128, 36, 38, 217, 218]",True,29.0,95.23500000000001,63.24,,,,,,,,,,,,True,Maritimo,Benfica,
2519430315.0,22.0,1.0,299,443613.0,2.52,1.4960000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['Angle', 'PassEndX', 'StandingSave', 'Length', 'PassEndY', 'Zone']","[91, 94, 95, 215]",True,36.0,3.045,0.0,,,,,,,,,,66.0,António Silva,,Maritimo,Benfica,
2519430719.0,25.0,1.0,264,329366.0,91.455,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Longball', 'Zone', 'ThrowIn', 'Angle', 'Length', 'PassEndY']","[91, 212, 35, 38, 216]",True,58.0,66.25500000000001,59.772000000000006,,,,,,,,,,,,False,Maritimo,Benfica,-0.017400120000000005
2519430737.0,26.0,2.0,264,401126.0,63.525000000000006,56.984,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndY', 'PassEndX', 'StandingSave']","[91, 119, 117, 30, 35, 38, 216, 218]",True,1.0,59.115,29.852,,,,,,,,,,,,False,Maritimo,Benfica,-0.0018081900000000012
2519430777.0,27.0,2.0,264,137058.0,59.22,29.172,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Angle']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,4.0,73.605,4.284,,,,,,,,,,,,False,Maritimo,Benfica,0.004326010000000002
2519430801.0,28.0,2.0,264,101952.0,75.39,4.148,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Offensive', 'OverRun', 'Zone', 'StandingSave']","[91, 204]",True,7.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519430819.0,24.0,2.0,299,75691.0,10.605,64.19200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,10.0,,,,,,,,,,,,30.0,Nicolás Otamendi,,Maritimo,Benfica,
,,2.0,299,75691.0,10.605,64.19200000000001,,,Carry,,,,,10.0,9.240000000000002,65.28,,,,,,,,,,30.0,Nicolás Otamendi,False,Maritimo,Benfica,-0.0014131300000000003
2519430843.0,25.0,2.0,299,75691.0,9.240000000000002,65.28,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 117, 30, 36, 38, 215, 218]",True,11.0,13.125,64.396,,,,,,,,,,30.0,Nicolás Otamendi,False,Maritimo,Benfica,0.0
2519430861.0,26.0,2.0,299,107252.0,13.125,64.396,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'StandingSave', 'Zone', 'Length', 'Angle']","[91, 117, 30, 35, 38, 215, 218]",True,12.0,7.5600000000000005,58.61600000000001,,,,,,,,,,3.0,Alejandro Grimaldo,False,Maritimo,Benfica,-0.0002954400000000001
2519430901.0,27.0,2.0,299,75691.0,7.455,57.46,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'StandingSave', 'Length', 'PassEndX', 'PassEndY', 'Zone', 'Angle']","[91, 120, 128, 36, 38, 216, 218]",True,13.0,57.330000000000005,34.204,,,,,,,,,,30.0,Nicolás Otamendi,True,Maritimo,Benfica,
2519430933.0,29.0,2.0,264,401126.0,47.145,31.348000000000003,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'HeadPass', 'Length', 'Zone', 'Angle']","[91, 119, 117, 30, 139, 36, 38, 216, 218]",True,17.0,55.964999999999996,29.92,,,,,,,,,,,,False,Maritimo,Benfica,0.0020492999999999987
2519430939.0,30.0,2.0,264,300848.0,55.86000000000001,29.716000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,18.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519430967.0,31.0,2.0,264,300848.0,55.964999999999996,28.424,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'StandingSave', 'Length', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,19.0,45.255,14.96,,,,,,,,,,,,False,Maritimo,Benfica,-0.003049879999999998
2519431027.0,32.0,2.0,264,137058.0,39.9,15.98,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave', 'Angle']","[91, 117, 30, 35, 37, 215, 218]",True,22.0,14.490000000000002,33.932,,,,,,,,,,,,False,Maritimo,Benfica,-0.0013199700000000002
2519431097.0,33.0,2.0,264,86730.0,15.015,32.096000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Length', 'Zone', 'StandingSave', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,29.0,22.89,20.060000000000002,,,,,,,,,,,,False,Maritimo,Benfica,-0.0008141799999999994
2519431135.0,34.0,2.0,264,137058.0,21.315,21.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Angle', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,33.0,8.61,38.080000000000005,,,,,,,,,,,,False,Maritimo,Benfica,-0.0006024800000000007
2519431147.0,35.0,2.0,264,86730.0,10.185,39.644,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Zone', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,37.0,15.015,54.67200000000001,,,,,,,,,,,,False,Maritimo,Benfica,-0.002041330000000001
2519431181.0,36.0,2.0,264,401126.0,15.015,54.67200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,39.0,28.035,65.212,,,,,,,,,,,,False,Maritimo,Benfica,0.0009907000000000006
2519431213.0,37.0,2.0,264,329366.0,29.925,63.104,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle', 'StandingSave']","[91, 117, 30, 36, 38, 215, 218]",True,42.0,30.03,53.040000000000006,,,,,,,,,,,,False,Maritimo,Benfica,0.0008183099999999992
2519431243.0,38.0,2.0,264,300848.0,31.395,56.236000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,45.0,31.080000000000002,65.212,,,,,,,,,,,,False,Maritimo,Benfica,-0.0008183099999999992
2519431319.0,39.0,2.0,264,329366.0,33.075,64.328,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndX', 'Longball', 'PlayerCaughtOffside', 'PassEndY', 'StandingSave', 'Zone']","[91, 217]",True,47.0,90.3,59.43200000000001,,,,,,,,,,,,,Maritimo,Benfica,
2519431341.0,28.0,2.0,299,443613.0,41.685,14.212,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,47.0,,,,,,,,,,,,66.0,António Silva,,Maritimo,Benfica,
2519442319.0,11039.0,2.0,264,388653.0,90.3,59.43200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,,,,,,,,,,,,,,,,Maritimo,Benfica,
2519431439.0,29.0,3.0,299,443613.0,27.72,24.48,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'FreekickTaken', 'IndirectFreekickTaken', 'Length', 'Zone', 'Angle']","[91, 117, 30, 132, 35, 37, 215, 218]",True,10.0,24.044999999999998,43.724000000000004,,,,,,,,,,66.0,António Silva,False,Maritimo,Benfica,-0.00109158
2519431445.0,30.0,3.0,299,75691.0,23.52,43.928,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'PassEndX', 'Zone', 'Length', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,10.0,20.265,63.03600000000001,,,,,,,,,,30.0,Nicolás Otamendi,False,Maritimo,Benfica,-0.0015645000000000017
2519431469.0,31.0,3.0,299,107252.0,19.845,63.580000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'Angle']","[91, 117, 30, 36, 37, 216, 218]",True,12.0,37.065,65.62,,,,,,,,,,3.0,Alejandro Grimaldo,False,Maritimo,Benfica,0.0028141300000000015
2519431475.0,32.0,3.0,299,303544.0,35.910000000000004,65.62,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 118, 120, 29, 36, 216, 218]",True,14.0,45.464999999999996,65.62,,,,,,,,,,8.0,Fredrik Aursnes,False,Maritimo,Benfica,
2519431477.0,40.0,3.0,264,137058.0,68.14500000000001,2.04,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,17.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519431491.0,41.0,3.0,264,137058.0,68.14500000000001,2.04,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Zone', 'Offensive', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'OppositeRelatedEvent']","[91, 120, 29, 36, 216, 218]",True,17.0,69.615,2.04,,,,,,,,,,,,False,Maritimo,Benfica,
2519431521.0,33.0,3.0,299,395802.0,42.945,66.028,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 60]",True,17.0,,,,,,,,,,,,88.0,Gonçalo Ramos,,Maritimo,Benfica,
2519431609.0,43.0,3.0,264,101952.0,66.36,0.0,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Longball', 'Angle', 'ThrowIn', 'Length', 'PassEndY', 'PassEndX', 'Zone']","[91, 212, 36, 37, 217]",True,26.0,92.82000000000001,8.228,,,,,,,,,,,,True,Maritimo,Benfica,
2519431637.0,35.0,3.0,299,75691.0,15.645000000000001,59.908,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'HeadPass', 'PassEndX', 'Angle', 'Length', 'PassEndY']","[91, 117, 30, 139, 36, 37, 215, 218]",True,28.0,27.195,62.35600000000001,,,,,,,,,,30.0,Nicolás Otamendi,False,Maritimo,Benfica,0.0006523799999999993
2519431645.0,36.0,3.0,299,303544.0,28.035,61.336000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,29.0,,,,,,,,,,,,8.0,Fredrik Aursnes,,Maritimo,Benfica,
,,3.0,299,303544.0,28.035,61.336000000000006,,,Carry,,,,,29.0,29.400000000000002,58.07200000000001,,,,,,,,,,8.0,Fredrik Aursnes,False,Maritimo,Benfica,0.0008183099999999992
2519431665.0,37.0,3.0,299,303544.0,29.400000000000002,58.07200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Successful,"['Defensive', 'OppositeRelatedEvent', 'StandingSave', 'Zone']","[91, 54]",True,30.0,,,,,,,,,,,,8.0,Fredrik Aursnes,,Maritimo,Benfica,
2519431715.0,44.0,3.0,264,371582.0,75.60000000000001,9.928,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Challenge,Unsuccessful,"['Offensive', 'OppositeRelatedEvent', 'Zone']",[55],False,30.0,,,,,,,,,,,,,,,Maritimo,Benfica,
2519431685.0,38.0,3.0,299,303544.0,29.505000000000003,58.208,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,31.0,23.835,50.25200000000001,,,,,,,,,,8.0,Fredrik Aursnes,False,Maritimo,Benfica,-0.0005818599999999983
2519431703.0,39.0,3.0,299,361961.0,23.835,49.776,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'PassEndX', 'Angle', 'StandingSave']","[91, 117, 30, 35, 38, 215, 218]",True,32.0,23.415000000000003,41.208000000000006,,,,,,,,,,22.0,Chiquinho,False,Maritimo,Benfica,0.00015244999999999842
