id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,blockedX,blockedY,isOwnGoal,isGoal,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2549064777.0,14.0,0.0,51.0,297,32.97,53.040000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Zone', 'PassEndY', 'Length', 'StandingSave']","[91, 119, 117, 30, 36, 37, 216, 218]",True,10105.0,55.545,65.41600000000001,,,,,,,,,,,,,True,Porto,Casa Pia AC,0.00414106
2549457591.0,1046.0,0.0,53.0,297,63.839999999999996,61.948,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",TakeOn,Unsuccessful,"['Zone', 'Offensive', 'StandingSave']","[91, 53]",True,347204.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549064779.0,15.0,0.0,53.0,297,58.800000000000004,63.85200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent', 'Foul']","[91, 63]",True,347204.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549064787.0,12.0,0.0,53.0,9509,46.2,4.148,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Zone', 'StandingSave', 'Foul', 'OppositeRelatedEvent', 'Defensive']",[64],False,447577.0,,,,,,,,,,,,,24.0,Yuki Soma,,Porto,Casa Pia AC,
2549064835.0,16.0,1.0,1.0,297,57.330000000000005,65.41600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndX', 'StandingSave', 'FreekickTaken', 'PassEndY']","[91, 117, 30, 132, 35, 38, 216, 218]",True,132273.0,49.245,61.948,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.002252519999999999
2549064881.0,17.0,1.0,5.0,297,41.895,56.508,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length', 'PassEndX', 'Longball']","[91, 117, 127, 35, 38, 215, 218]",True,10105.0,16.17,37.468,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0013199700000000002
2549064905.0,18.0,1.0,10.0,297,18.585,36.856,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'Length', 'PassEndY', 'StandingSave', 'PassEndX']","[91, 117, 30, 36, 38, 215, 218]",True,373842.0,28.665000000000003,26.792,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0011582700000000012
2549064931.0,19.0,1.0,14.0,297,32.13,28.492,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'Zone', 'PassEndY', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,114301.0,36.75,40.93600000000001,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0013027000000000004
2549064939.0,20.0,1.0,16.0,297,40.214999999999996,46.376000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'Angle', 'Length', 'StandingSave', 'PassEndX']","[91, 120, 29, 36, 37, 216, 218]",True,351744.0,63.315,59.29600000000001,,,,,,,,,,,,,True,Porto,Casa Pia AC,
2549064951.0,13.0,1.0,17.0,9509,37.905,10.540000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,446997.0,,,,,,,,,,,,,6.0,Derick Poloni,,Porto,Casa Pia AC,
2549064953.0,14.0,1.0,17.0,9509,39.795,10.948000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,446997.0,54.495,9.112,,,,,,,,,,,6.0,Derick Poloni,False,Porto,Casa Pia AC,0.002588769999999999
,,1.0,17.0,9509,54.495,9.112,,,Carry,,,,,447577.0,66.045,5.576,,,,,,,,,,,24.0,Yuki Soma,True,Porto,Casa Pia AC,0.0013324699999999953
,,1.0,17.0,9509,37.905,10.540000000000001,,,Carry,,,,,446997.0,39.795,10.948000000000002,,,,,,,,,,,6.0,Derick Poloni,False,Porto,Casa Pia AC,0.0
2549064959.0,15.0,1.0,20.0,9509,66.045,5.576,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,447577.0,,,,,,,,,,,,,24.0,Yuki Soma,,Porto,Casa Pia AC,
2549065021.0,22.0,1.0,28.0,297,23.31,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'PassEndY', 'PassEndX', 'ThrowIn', 'Zone']","[91, 212, 35, 38, 215]",True,132273.0,11.13,57.46,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.00033735000000000015
2549065081.0,23.0,1.0,30.0,297,11.13,57.46,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'Length', 'StandingSave', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,10105.0,15.015,29.104,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.002041330000000001
2549065109.0,24.0,1.0,39.0,297,27.825000000000003,19.856,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'Length', 'Zone', 'PassEndY', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,322771.0,34.02,37.74,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0002191399999999996
2549065151.0,25.0,1.0,42.0,297,37.065,46.03600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,351744.0,26.25,45.016000000000005,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.002678699999999999
2549065165.0,26.0,1.0,46.0,297,29.925,40.93600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 36, 38, 215, 218]",True,10105.0,34.125,20.468000000000004,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.0002191399999999996
2549065197.0,27.0,1.0,48.0,297,34.44,20.264000000000003,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndY', 'Angle', 'PassEndX', 'Length']","[91, 117, 30, 36, 38, 216, 218]",True,322771.0,45.045,6.392,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.0013788199999999994
2549065221.0,28.0,1.0,50.0,297,45.045,6.392,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'Angle', 'PassEndX', 'StandingSave', 'Length']","[91, 117, 30, 35, 37, 216, 218]",True,421893.0,41.580000000000005,14.144000000000002,,,,,,,,,,,,,False,Porto,Casa Pia AC,-0.00033624999999999974
2549065237.0,29.0,1.0,55.0,297,41.265,14.144000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndY', 'Zone', 'Length', 'StandingSave', 'PassEndX']","[91, 117, 30, 36, 38, 216, 218]",True,322771.0,49.875,2.108,,,,,,,,,,,,,False,Porto,Casa Pia AC,0.00033624999999999974
2549065257.0,30.0,1.0,57.0,297,56.7,2.924,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'PassEndX', 'Angle', 'Chipped', 'PassEndY', 'Length', 'StandingSave']","[91, 120, 29, 124, 36, 38, 217, 218]",True,421893.0,84.84,0.0,,,,,,,,,,,,,True,Porto,Casa Pia AC,
2549065415.0,18.0,2.0,15.0,9509,24.78,68.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Length', 'PassEndX', 'Angle', 'ThrowIn']","[91, 212, 36, 38, 216]",True,444766.0,43.050000000000004,62.35600000000001,,,,,,,,,,,5.0,Leonardo Lelo,False,Porto,Casa Pia AC,0.0028141300000000015
,,2.0,15.0,9509,43.050000000000004,62.35600000000001,,,Carry,,,,,363581.0,40.005,61.064,,,,,,,,,,,30.0,Felippe Cardoso,False,Porto,Casa Pia AC,0.0
2549065421.0,19.0,2.0,16.0,9509,40.005,61.064,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive', 'Foul']","[91, 63]",True,363581.0,,,,,,,,,,,,,30.0,Felippe Cardoso,,Porto,Casa Pia AC,
2549065433.0,32.0,2.0,16.0,297,64.995,6.936,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['StandingSave', 'OppositeRelatedEvent', 'Zone', 'Defensive', 'Foul']",[64],False,114301.0,,,,,,,,,,,,,,,,Porto,Casa Pia AC,
2549065543.0,20.0,2.0,35.0,9509,48.405,60.928,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['FreekickTaken', 'Angle', 'Zone', 'PassEndY', 'Length', 'StandingSave', 'PassEndX']","[91, 117, 30, 132, 35, 37, 216, 218]",True,444766.0,35.175000000000004,63.580000000000005,,,,,,,,,,,5.0,Leonardo Lelo,False,Porto,Casa Pia AC,-0.0027068500000000002
,,2.0,35.0,9509,35.175000000000004,63.580000000000005,,,Carry,,,,,105686.0,30.03,62.56,,,,,,,,,,,19.0,Nermin Zolotic,False,Porto,Casa Pia AC,-0.0014860800000000007
2549065557.0,21.0,2.0,37.0,9509,30.03,62.56,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Zone']","[91, 117, 30, 35, 38, 215, 218]",True,105686.0,9.975,44.540000000000006,,,,,,,,,,,19.0,Nermin Zolotic,False,Porto,Casa Pia AC,-0.0008966900000000003
