id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2445516035.0,13.0,1.0,8.0,9509,28.77,55.760000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,444766.0,,,,,,,,,,,,5.0,Leonardo Lelo,,Casa Pia,Benfica,
2445516053.0,14.0,1.0,9.0,9509,29.925,55.964,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,444766.0,,,,,,,,,,,,5.0,Leonardo Lelo,,Casa Pia,Benfica,
2445516255.0,15.0,1.0,9.0,9509,31.185000000000002,55.964,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Zone', 'Chipped', 'Length', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,444766.0,73.71000000000001,62.968,,,,,,,,,,5.0,Leonardo Lelo,True,Casa Pia,Benfica,0.01062639
,,1.0,9.0,9509,73.71000000000001,62.968,,,Carry,,,,,444768.0,94.08,55.624,,,,,,,,,,7.0,Saviour Godwin,True,Casa Pia,Benfica,0.019448629999999998
2445516273.0,16.0,1.0,20.0,9509,94.08,55.624,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'LeftFoot', 'Cross', 'Zone']","[91, 138, 126, 36, 38, 217, 218]",True,444768.0,96.60000000000001,37.74,,,,,,,,,,7.0,Saviour Godwin,True,Casa Pia,Benfica,
2445516313.0,25.0,1.0,20.0,299,5.985,30.736000000000004,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,376916.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445516307.0,17.0,1.0,21.0,9509,96.60000000000001,36.652,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,135347.0,,,,,,,,,,,,11.0,Rafael Martins,,Casa Pia,Benfica,
2445516323.0,26.0,1.0,22.0,299,3.465,18.156000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['StandingSave', 'PassEndX', 'Angle', 'Length', 'Zone', 'PassEndY']","[91, 94, 95, 215]",True,75691.0,0.0,15.504000000000001,,,,,,,,,,,,,Casa Pia,Benfica,
2445516349.0,18.0,1.0,23.0,9509,101.01,44.608,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissLeft', 'OppositeRelatedEvent', 'Zone']",[122],False,135347.0,,,,,,,,,,,,11.0,Rafael Martins,,Casa Pia,Benfica,
2445516331.0,27.0,1.0,23.0,299,3.9899999999999998,23.392,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['Zone', 'OppositeRelatedEvent', 'MissLeft']",[122],False,75691.0,,,,,,,,,,,,,,,Casa Pia,Benfica,
2445516785.0,19.0,1.0,54.0,9509,104.47500000000001,67.66000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'LeftFoot', 'Length', 'Longball', 'CornerTaken', 'Chipped', 'Zone', 'Cross', 'StandingSave', 'PassEndY', 'Angle']","[91, 119, 138, 124, 125, 31, 32, 34, 35, 38, 217, 218]",True,444767.0,83.58,11.628000000000002,,,,,,,,,,14.0,Takahiro Kunimoto,False,Casa Pia,Benfica,-0.00839318
2445516799.0,20.0,1.0,59.0,9509,84.105,11.424000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Angle', 'Length', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,322631.0,84.63,16.32,,,,,,,,,,8.0,Ângelo Neto,False,Casa Pia,Benfica,0.0
2445516811.0,21.0,2.0,0.0,9509,84.63,16.32,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'StandingSave', 'Zone', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,120734.0,95.97000000000001,10.608,,,,,,,,,,13.0,Vasco Fernandes,False,Casa Pia,Benfica,0.01694449
2445516813.0,22.0,2.0,1.0,9509,96.075,10.608,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,322631.0,,,,,,,,,,,,8.0,Ângelo Neto,,Casa Pia,Benfica,
2445517081.0,30.0,2.0,13.0,299,3.465,33.388000000000005,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'GoalKick', 'PassEndX', 'Zone', 'Angle', 'Length']","[91, 117, 30, 36, 37, 215, 218]",True,110273.0,26.985,36.516000000000005,,,,,,,,,,,,False,Casa Pia,Benfica,0.0007549299999999991
2445517149.0,31.0,2.0,20.0,299,31.290000000000003,33.11600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Longball', 'Length', 'Angle', 'PassEndY', 'StandingSave']","[91, 117, 127, 36, 38, 216, 218]",True,369430.0,41.895,2.3800000000000003,,,,,,,,,,,,False,Casa Pia,Benfica,-6.108999999999976e-05
2445517193.0,32.0,2.0,27.0,299,64.89,4.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'Length', 'Angle', 'PassEndY', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,119542.0,70.03500000000001,2.72,,,,,,,,,,,,False,Casa Pia,Benfica,0.00377069
2445517233.0,33.0,2.0,29.0,299,62.79,2.176,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'StandingSave', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 117, 30, 35, 37, 216, 218]",True,343029.0,40.95,9.520000000000001,,,,,,,,,,,,False,Casa Pia,Benfica,-0.00530341
2445517259.0,34.0,2.0,31.0,299,40.95,9.520000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'PassEndY', 'Angle', 'Zone', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,75691.0,51.55500000000001,28.628000000000004,,,,,,,,,,,,False,Casa Pia,Benfica,0.0026987899999999995
2445517287.0,35.0,2.0,34.0,299,49.77,21.216,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndX', 'PassEndY', 'StandingSave', 'Length']","[91, 119, 117, 30, 36, 38, 216, 218]",True,369430.0,61.214999999999996,2.5160000000000005,,,,,,,,,,,,False,Casa Pia,Benfica,0.00315932
