id,eventId,minute,teamId,playerId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,second,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,1.0,9509,136355.0,62.685,14.144000000000002,,,Carry,,,,,55.0,60.795,14.96,,,,,,,,,,,15.0,Fernando Varela,False,Casa Pia AC,Pacos de Ferreira,0.0
2516611465.0,24.0,1.0,9509,136355.0,60.795,14.96,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'Zone', 'StandingSave', 'PassEndX']","[91, 117, 30, 35, 37, 216, 218]",True,57.0,47.88,27.064,,,,,,,,,,,15.0,Fernando Varela,False,Casa Pia AC,Pacos de Ferreira,-0.0012721500000000014
2516611509.0,25.0,1.0,9509,120734.0,47.46000000000001,28.220000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Length', 'Angle', 'PassEndY']","[91, 117, 30, 36, 37, 216, 218]",True,59.0,47.565,49.368,,,,,,,,,,,13.0,Vasco Fernandes,False,Casa Pia AC,Pacos de Ferreira,-0.0005547
,,1.0,9509,105686.0,47.565,49.368,,,Carry,,,,,59.0,59.955000000000005,48.348,,,,,,,,,,,19.0,Nermin Zolotic,True,Casa Pia AC,Pacos de Ferreira,0.0025646799999999997
2516611549.0,26.0,2.0,9509,105686.0,59.955000000000005,48.348,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'StandingSave', 'Angle', 'Zone']","[91, 117, 30, 35, 38, 216, 218]",True,4.0,48.825,34.816,,,,,,,,,,,19.0,Nermin Zolotic,False,Casa Pia AC,Pacos de Ferreira,-0.0020099799999999998
,,2.0,9509,120734.0,48.825,34.816,,,Carry,,,,,4.0,51.345,32.708000000000006,,,,,,,,,,,13.0,Vasco Fernandes,False,Casa Pia AC,Pacos de Ferreira,0.0
2516611599.0,27.0,2.0,9509,120734.0,51.345,32.708000000000006,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'PassEndY', 'StandingSave', 'PassEndX', 'Angle']","[91, 117, 30, 35, 38, 216, 218]",True,8.0,48.089999999999996,17.068,,,,,,,,,,,13.0,Vasco Fernandes,False,Casa Pia AC,Pacos de Ferreira,-0.0005547
,,2.0,9509,136355.0,48.089999999999996,17.068,,,Carry,,,,,8.0,49.245,21.964,,,,,,,,,,,15.0,Fernando Varela,False,Casa Pia AC,Pacos de Ferreira,0.0
2516611639.0,28.0,2.0,9509,136355.0,49.245,21.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Chipped', 'Length', 'PassEndX', 'Longball', 'Zone', 'PassEndY', 'StandingSave']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,11.0,75.915,65.28,,,,,,,,,,,15.0,Fernando Varela,False,Casa Pia AC,Pacos de Ferreira,0.00693001
2516611659.0,29.0,2.0,9509,444766.0,75.915,65.28,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Angle', 'Zone', 'Length', 'HeadPass', 'PassEndX']","[91, 120, 29, 139, 35, 38, 217, 218]",True,14.0,74.865,57.93600000000001,,,,,,,,,,,5.0,Leonardo Lelo,False,Casa Pia AC,Pacos de Ferreira,
2516611673.0,21.0,2.0,786,110341.0,34.125,9.656,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,16.0,,,,,,,,,,,,,,,,Casa Pia AC,Pacos de Ferreira,
2516611695.0,22.0,2.0,786,110341.0,34.125,9.656,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'StandingSave', 'PassEndX', 'Angle', 'PassEndY', 'Length']","[91, 117, 30, 36, 37, 216, 218]",True,16.0,43.995,10.064000000000002,,,,,,,,,,,,,False,Casa Pia AC,Pacos de Ferreira,0.0015522900000000013
