id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388416799.0,18.0,1.0,30.0,288.0,36.225,9.656,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Zone', 'Length']","[91, 117, 30, 35, 37, 215, 218]",True,283362.0,29.294999999999998,15.232,,,,,,,,,,,False,Braga,Santa Clara,0.0
2388416791.0,17.0,1.0,30.0,288.0,31.080000000000002,1.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,421975.0,35.595,9.248000000000001,,,,,,,,,,,False,Braga,Santa Clara,0.0023706000000000005
2388416807.0,19.0,1.0,32.0,288.0,29.294999999999998,15.232,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'Angle', 'PassEndY', 'Zone', 'StandingSave']","[91, 118, 120, 29, 36, 37, 216, 218]",True,381792.0,42.945,17.204,,,,,,,,,,,False,Braga,Santa Clara,0.002096839999999999
2388416813.0,19.0,1.0,34.0,251.0,61.95,47.19200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'StandingSave']","[91, 101, 56]",True,101748.0,,,,,,,,,,,8.0,Anderson Carvalho,,Braga,Santa Clara,
2388416827.0,22.0,1.0,35.0,251.0,73.5,36.04,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,409279.0,,,,,,,,,,,25.0,Hidemasa Morita,,Braga,Santa Clara,
2388416825.0,21.0,1.0,35.0,251.0,70.66500000000002,48.144,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'PassEndX', 'Length', 'PassEndY', 'Zone', 'StandingSave']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,409279.0,73.5,36.04,,,,,,,,,25.0,Hidemasa Morita,False,Braga,Santa Clara,-0.0002709099999999992
,,1.0,35.0,,73.5,36.04,,,Carry,,,,,279531.0,72.66000000000001,32.776,,,,,,,,,23.0,Crysan,False,Braga,Santa Clara,0.0
,,1.0,35.0,,73.5,36.04,,,Carry,,,,,409279.0,70.66500000000002,48.144,,,,,,,,,25.0,Hidemasa Morita,False,Braga,Santa Clara,0.0002709099999999992
2388416865.0,23.0,1.0,36.0,251.0,72.66000000000001,32.776,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'StandingSave', 'Angle', 'Zone', 'PassEndX', 'Length']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,279531.0,81.69,22.236000000000004,,,,,,,,,23.0,Crysan,False,Braga,Santa Clara,0.004700530000000001
,,1.0,36.0,,81.69,22.236000000000004,,,Carry,,,,,425086.0,94.29,12.444,,,,,,,,,30.0,Mohammad Mohebbi,False,Braga,Santa Clara,0.012117899999999997
2388416875.0,24.0,1.0,43.0,251.0,94.29,12.444,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'Length', 'StandingSave', 'PassEndY', 'Zone']","[91, 119, 117, 30, 205, 35, 38, 217, 218]",True,425086.0,87.36000000000003,5.236000000000001,,,,,,,,,30.0,Mohammad Mohebbi,False,Braga,Santa Clara,-0.013106799999999998
,,1.0,43.0,,87.36000000000003,5.236000000000001,,,Carry,,,,,271550.0,84.63,7.888,,,,,,,,,2.0,Rafael Ramos,False,Braga,Santa Clara,0.0
2388416891.0,25.0,1.0,46.0,251.0,84.63,7.888,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,271550.0,97.23,2.5840000000000005,,,,,,,,,2.0,Rafael Ramos,False,Braga,Santa Clara,0.010362779999999999
2388416907.0,26.0,1.0,47.0,251.0,97.125,2.5840000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndX', 'Angle', 'StandingSave', 'PassEndY']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,425086.0,84.21000000000001,5.644000000000001,,,,,,,,,30.0,Mohammad Mohebbi,False,Braga,Santa Clara,-0.010362779999999999
,,1.0,47.0,,84.21000000000001,5.644000000000001,,,Carry,,,,,271550.0,82.215,8.5,,,,,,,,,2.0,Rafael Ramos,False,Braga,Santa Clara,0.0
