id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,isGoal,cardType,blockedX,blockedY,shirtNo,name,progressive,homeTeam,awayTeam,xT
2541711281.0,12.0,0.0,50.0,2188,10.709999999999999,11.356,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,447025.0,,,,,,,,,,,,62.0,Tiago Santos,,Estoril,Santa Clara,
2541711289.0,13.0,0.0,50.0,2188,10.709999999999999,11.356,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'StandingSave', 'Zone', 'PassEndX', 'PassEndY']","[91, 118, 120, 29, 36, 37, 215, 218]",True,447025.0,25.935,14.824000000000002,,,,,,,,,,62.0,Tiago Santos,False,Estoril,Santa Clara,
2541711321.0,10.0,0.0,52.0,251,78.015,54.33200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,378828.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541711381.0,11.0,0.0,52.0,251,78.015,54.33200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'StandingSave', 'Angle', 'Length']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,378828.0,74.44500000000001,59.092000000000006,,,,,,,,,,,,False,Estoril,Santa Clara,-0.0027939199999999983
2541711385.0,12.0,0.0,54.0,251,75.17999999999999,61.268,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Zone', 'Offensive']","[91, 70]",True,143035.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541711377.0,14.0,0.0,54.0,2188,29.82,6.732000000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['Zone', 'StandingSave', 'OppositeRelatedEvent', 'Defensive']","[91, 142]",True,437687.0,,,,,,,,,,,,21.0,Tiago Gouveia,,Estoril,Santa Clara,
2541711413.0,13.0,0.0,56.0,251,70.35000000000001,65.824,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['StandingSave', 'Length', 'Angle', 'OppositeRelatedEvent', 'Offensive', 'PassEndY', 'PassEndX', 'Zone']","[91, 120, 29, 36, 37, 217, 218]",True,143035.0,72.45,66.23200000000001,,,,,,,,,,,,False,Estoril,Santa Clara,
2541711423.0,15.0,0.0,56.0,2188,28.77,1.4960000000000002,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['Defensive', 'Zone', 'StandingSave', 'OppositeRelatedEvent']","[91, 60]",True,437687.0,,,,,,,,,,,,21.0,Tiago Gouveia,,Estoril,Santa Clara,
2541711511.0,15.0,1.0,0.0,251,70.875,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['ThrowIn', 'PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone']","[91, 212, 36, 38, 217]",True,143035.0,77.385,56.440000000000005,,,,,,,,,,,,True,Estoril,Santa Clara,0.008311429999999998
2541711565.0,16.0,1.0,1.0,251,77.385,56.440000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['HeadPass', 'Zone', 'Length', 'StandingSave', 'Angle', 'PassEndY', 'PassEndX']","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,322764.0,94.815,64.19200000000001,,,,,,,,,,,,False,Estoril,Santa Clara,0.01391069
2541711579.0,17.0,1.0,4.0,251,97.33500000000001,64.26,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'PassEndX', 'Cross', 'Chipped', 'LeftFoot', 'StandingSave', 'Zone', 'Angle', 'Length']","[91, 138, 124, 126, 35, 38, 217, 218]",True,143035.0,95.44500000000001,40.528000000000006,,,,,,,,,,,,True,Estoril,Santa Clara,
2541711655.0,17.0,1.0,6.0,2188,11.76,29.716000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['PassEndY', 'PassEndX', 'Angle', 'Length', 'Zone']","[91, 94, 95, 215]",True,421890.0,31.815,28.220000000000002,,,,,,,,,,3.0,Bernardo Vital,,Estoril,Santa Clara,
2541711669.0,18.0,1.0,8.0,251,74.76,47.124,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX', 'HeadPass']","[91, 119, 117, 30, 139, 205, 36, 37, 217, 218]",True,378828.0,77.28,49.64,,,,,,,,,,,,False,Estoril,Santa Clara,0.004429619999999999
2541711761.0,19.0,1.0,11.0,251,83.58,51.00000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'StandingSave', 'Length', 'PassEndX', 'Zone', 'PassEndY']","[91, 120, 29, 36, 37, 217, 218]",True,322764.0,87.04500000000002,53.516000000000005,,,,,,,,,,,,False,Estoril,Santa Clara,
2541712201.0,20.0,1.0,37.0,2188,28.245,5.848,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['HeadPass', 'Angle', 'Length', 'StandingSave', 'PassEndY', 'PassEndX', 'Zone']","[91, 118, 120, 29, 139, 36, 37, 215, 218]",True,357533.0,28.77,7.752000000000001,,,,,,,,,,27.0,Rafik Guitane,False,Estoril,Santa Clara,
2541712183.0,19.0,1.0,37.0,2188,12.075000000000001,0.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Zone', 'Angle', 'PassEndX', 'Length', 'ThrowIn']","[91, 212, 36, 37, 215]",True,447025.0,28.245,5.848,,,,,,,,,,62.0,Tiago Santos,False,Estoril,Santa Clara,0.00198043
2541712165.0,21.0,1.0,38.0,251,73.92000000000002,53.720000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,322764.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541712193.0,22.0,1.0,38.0,251,73.92000000000002,53.720000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Zone', 'PassEndX', 'Length', 'Angle', 'StandingSave', 'Chipped']","[91, 120, 29, 124, 36, 37, 217, 218]",True,322764.0,75.28500000000001,57.46,,,,,,,,,,,,False,Estoril,Santa Clara,
2541712255.0,21.0,1.0,39.0,2188,28.35,6.936,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['OtherBodyPart', 'Zone', 'StandingSave']",[91],True,437687.0,,,,,,,,,,,,21.0,Tiago Gouveia,,Estoril,Santa Clara,
2541712467.0,24.0,1.0,52.0,251,82.74,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'ThrowIn', 'PassEndY', 'Length', 'Angle']","[91, 212, 36, 38, 217]",True,143035.0,91.14,61.81200000000001,,,,,,,,,,,,False,Estoril,Santa Clara,0.007287600000000002
2541712473.0,25.0,1.0,53.0,251,93.24,60.79200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['LayOff', 'PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Angle', 'Zone']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,281935.0,88.09500000000001,65.89200000000001,,,,,,,,,,,,False,Estoril,Santa Clara,0.0
2541712527.0,26.0,1.0,56.0,251,78.22500000000001,66.23200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Length', 'PassEndY', 'StandingSave', 'Angle', 'Zone']","[91, 120, 29, 35, 37, 216, 218]",True,143035.0,61.53,68.0,,,,,,,,,,,,False,Estoril,Santa Clara,
2541712879.0,25.0,2.0,19.0,2188,42.315,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Longball', 'Angle', 'ThrowIn', 'Length', 'Zone', 'PassEndX', 'PassEndY']","[91, 212, 36, 37, 216]",True,447025.0,67.515,8.704,,,,,,,,,,62.0,Tiago Santos,True,Estoril,Santa Clara,0.006187929999999996
,,2.0,19.0,2188,67.515,8.704,,,Carry,,,,,411017.0,69.72000000000001,3.944,,,,,,,,,,9.0,Alejandro Marqués,False,Estoril,Santa Clara,0.0025178200000000005
2541712885.0,26.0,2.0,21.0,2188,69.72000000000001,3.944,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent']","[91, 70]",True,411017.0,,,,,,,,,,,,9.0,Alejandro Marqués,,Estoril,Santa Clara,
2541712891.0,28.0,2.0,22.0,251,35.28,64.05600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['StandingSave', 'Defensive', 'Zone', 'OppositeRelatedEvent']","[91, 143]",True,422199.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541713183.0,28.0,2.0,40.0,2188,65.10000000000001,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Zone', 'PassEndX', 'Angle', 'ThrowIn', 'Longball']","[91, 212, 36, 37, 217]",True,447025.0,89.14500000000001,5.712000000000001,,,,,,,,,,62.0,Tiago Santos,True,Estoril,Santa Clara,
2541713203.0,30.0,2.0,42.0,251,14.490000000000002,65.212,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Interception,Successful,"['Zone', 'Head']","[91, 101, 56]",True,422199.0,,,,,,,,,,,,,,,Estoril,Santa Clara,
2541713445.0,30.0,2.0,53.0,2188,82.425,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Zone', 'PassEndY', 'Angle', 'Length', 'Longball', 'ThrowIn']","[91, 212, 36, 37, 217]",True,447025.0,105.0,17.476,,,,,,,,,,62.0,Tiago Santos,True,Estoril,Santa Clara,
