id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,cardType,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
2388116527.0,15.0,1.0,26.0,297.0,42.63,38.48800000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,322771.0,,,,,,,,,,,,2.0,Fábio Cardoso,,Porto,Gil Vicente,
2388117737.0,19.0,1.0,26.0,297.0,43.575,38.28400000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'StandingSave', 'PassEndX', 'PassEndY', 'Length', 'Zone']","[91, 119, 117, 30, 36, 38, 216, 218]",True,322771.0,58.38,36.992000000000004,,,,,,,,,,2.0,Fábio Cardoso,False,Porto,Gil Vicente,0.004268819999999998
2388116559.0,16.0,1.0,27.0,297.0,59.01000000000001,36.312000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'StandingSave', 'Angle', 'PassEndX']","[91, 119, 117, 30, 36, 37, 216, 218]",True,338791.0,69.825,36.448,,,,,,,,,,11.0,Pepê Aquino,True,Porto,Gil Vicente,0.0030754200000000023
,,1.0,27.0,,69.825,36.448,,,Carry,,,,,358801.0,74.865,36.924000000000014,,,,,,,,,,9.0,Mehdi Taremi,False,Porto,Gil Vicente,0.0038807899999999985
2388116603.0,17.0,1.0,30.0,297.0,74.865,36.924000000000014,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Angle', 'Length', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,358801.0,85.26,31.96,,,,,,,,,,9.0,Mehdi Taremi,True,Porto,Gil Vicente,0.01126177
,,1.0,30.0,,85.26,31.96,,,Carry,,,,,384430.0,84.42000000000004,28.08400000000001,,,,,,,,,,30.0,Evanilson,False,Porto,Gil Vicente,0.0
2388116607.0,18.0,1.0,32.0,297.0,84.42000000000002,28.084,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Successful,"['Zone', 'Offensive', 'OppositeRelatedEvent', 'Foul']","[91, 63]",True,384430.0,,,,,,,,,,,,30.0,Evanilson,,Porto,Gil Vicente,
2388116719.0,32.0,1.0,32.0,290.0,20.58,39.916,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Foul,Unsuccessful,"['Defensive', 'Zone', 'StandingSave', 'OppositeRelatedEvent', 'Foul']",[64],False,331609.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2388117033.0,33.0,2.0,4.0,290.0,0.0,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Card,Successful,['Red'],[68],False,331609.0,,,"{'value': 33, 'displayName': 'Red'}",,,,,,,,,,,,Porto,Gil Vicente,
2388118559.0,20.0,4.0,20.0,297.0,85.365,31.892000000000003,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['Zone', 'BlockedX', 'StandingSave', 'OutOfBoxCentre', 'GoalMouthZ', 'BlockedY', 'LowCentre', 'DirectFreekick', 'OppositeRelatedEvent', 'GoalMouthY', 'Blocked', 'RightFoot']","[91, 10, 2, 5, 11, 12]",True,384887.0,,,,89.1,47.5,19.0,48.3,True,,,,20.0,Vitinha,,Porto,Gil Vicente,
2388118595.0,34.0,4.0,21.0,290.0,11.340000000000002,41.072,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['Zone', 'OutfielderBlock', 'OppositeRelatedEvent']","[91, 58]",True,334129.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
2388119957.0,48.0,4.0,21.0,290.0,17.325,51.204,4.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,['Zone'],[91],True,135962.0,,,,,,,,,,,,,,,Porto,Gil Vicente,
