id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isShot,cardType,blockedX,blockedY,isGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,0.0,29.0,935,69.405,62.016000000000005,,,Carry,,,,,298175.0,70.875,61.540000000000006,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Santa Clara,0.00377069
2452464749.0,12.0,0.0,31.0,935,70.875,61.540000000000006,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Angle', 'StandingSave', 'Zone', 'Length', 'PassEndX']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,298175.0,75.60000000000001,64.26,,,,,,,,,,97.0,Santiago Colombatto,False,Famalicao,Santa Clara,0.0
2452464767.0,13.0,0.0,32.0,935,75.60000000000001,64.26,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'Length', 'StandingSave', 'Zone']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,432217.0,81.06,60.79200000000001,,,,,,,,,,14.0,Junior Kadile,False,Famalicao,Santa Clara,0.00634183
2452464799.0,14.0,0.0,33.0,935,81.06,60.79200000000001,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'Length', 'StandingSave', 'Zone', 'Angle', 'PassEndX']","[91, 120, 29, 36, 37, 217, 218]",True,373108.0,84.73500000000001,68.0,,,,,,,,,,11.0,Pedro Brazão,False,Famalicao,Santa Clara,
2452464943.0,12.0,0.0,43.0,251,20.16,0.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'Zone', 'PassEndX', 'PassEndY', 'ThrowIn']","[91, 212, 36, 37, 216]",True,369083.0,39.27,1.904,,,,,,,,,,,,False,Famalicao,Santa Clara,0.0028141300000000015
2452464957.0,13.0,0.0,45.0,251,38.535000000000004,1.904,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 70]",True,397582.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2453006287.0,827.0,0.0,46.0,935,66.465,66.096,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['StandingSave', 'Zone', 'OppositeRelatedEvent', 'Defensive']","[91, 143]",True,136435.0,,,,,,,,,,,,5.0,Rúben Lima,,Famalicao,Santa Clara,
2452464961.0,17.0,0.0,46.0,935,70.14,65.62,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'StandingSave']",[91],True,432217.0,,,,,,,,,,,,14.0,Junior Kadile,,Famalicao,Santa Clara,
2452465005.0,15.0,0.0,46.0,251,36.96000000000001,2.176,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['StandingSave', 'Zone']",[91],True,397582.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465115.0,19.0,0.0,59.0,935,67.515,68.0,0.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'ThrowIn', 'Length', 'PassEndY', 'Zone', 'PassEndX']","[91, 212, 36, 38, 217]",True,136435.0,84.42000000000002,61.2,,,,,,,,,,5.0,Rúben Lima,True,Famalicao,Santa Clara,0.01011252
2452465121.0,20.0,1.0,1.0,935,84.42000000000002,61.2,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'Zone', 'Length', 'PassEndY', 'PassEndX']","[91, 120, 29, 35, 38, 217, 218]",True,408370.0,81.9,60.928,,,,,,,,,,9.0,Álex Millán,False,Famalicao,Santa Clara,
2452465127.0,16.0,1.0,1.0,251,32.550000000000004,10.540000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['OtherBodyPart', 'Zone', 'StandingSave']",[91],True,416885.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465135.0,21.0,1.0,2.0,935,81.9,57.664,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['StandingSave', 'Zone']","[91, 69]",True,119622.0,,,,,,,,,,,,7.0,Ivo Rodrigues,,Famalicao,Santa Clara,
2452465165.0,17.0,1.0,3.0,251,27.405,18.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,143035.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
2452465185.0,18.0,1.0,3.0,251,27.405,18.972,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Angle', 'Length', 'Zone', 'PassEndY']","[91, 117, 30, 35, 38, 215, 218]",True,143035.0,26.985,8.976,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0026560800000000016
2452465193.0,19.0,1.0,4.0,251,26.985,8.772,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'StandingSave', 'Length', 'Angle', 'Zone']","[91, 117, 30, 36, 37, 216, 218]",True,369083.0,35.28,9.724000000000002,,,,,,,,,,,,False,Famalicao,Santa Clara,0.0
2452465197.0,20.0,1.0,5.0,251,35.28,9.724000000000002,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'PassEndX', 'PassEndY', 'Zone', 'Angle', 'Length']","[91, 117, 30, 35, 38, 215, 218]",True,101748.0,33.81,2.176,,,,,,,,,,,,False,Famalicao,Santa Clara,-0.0023706000000000005
2452465211.0,21.0,1.0,7.0,251,33.81,2.176,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'PassEndY', 'Angle', 'StandingSave', 'PassEndX']","[91, 117, 30, 36, 37, 216, 218]",True,369083.0,50.295,6.188000000000001,,,,,,,,,,,,False,Famalicao,Santa Clara,0.0027068500000000002
2452465265.0,22.0,1.0,9.0,251,43.155,17.34,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'StandingSave', 'Angle', 'Chipped', 'Zone', 'PassEndX', 'PassEndY', 'Longball']","[91, 120, 124, 128, 36, 37, 217, 218]",True,431984.0,73.08,29.716000000000005,,,,,,,,,,,,True,Famalicao,Santa Clara,
2452465303.0,22.0,1.0,14.0,935,27.51,46.51200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Angle', 'PassEndX', 'HeadPass', 'Zone']","[91, 117, 30, 139, 36, 37, 215, 218]",True,380619.0,30.03,53.448,,,,,,,,,,15.0,Riccieli,False,Famalicao,Santa Clara,-0.00050972
2452465307.0,23.0,1.0,16.0,935,28.77,53.584,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,363299.0,,,,,,,,,,,,4.0,Enea Mihaj,,Famalicao,Santa Clara,
2452465311.0,24.0,1.0,16.0,935,25.62,52.836000000000006,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 70]",True,363299.0,,,,,,,,,,,,4.0,Enea Mihaj,,Famalicao,Santa Clara,
2452465325.0,23.0,1.0,16.0,251,79.38,15.164000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Unsuccessful,"['OppositeRelatedEvent', 'Offensive', 'Zone']","[91, 142]",True,397582.0,,,,,,,,,,,,,,,Famalicao,Santa Clara,
,,1.0,16.0,935,28.77,53.584,,,Carry,,,,,363299.0,25.62,52.836000000000006,,,,,,,,,,4.0,Enea Mihaj,False,Famalicao,Santa Clara,-0.0011710800000000014
