id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2482690067.0,18.0,1.0,52.0,264,3.7800000000000002,41.344,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'GoalKick', 'PassEndX', 'Length', 'Zone', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,345713.0,21.105000000000004,61.67600000000001,,,,,,,,,,,False,Maritimo,Famalicao,-0.0009620200000000009
2482690081.0,19.0,1.0,54.0,264,24.675,62.83200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndX', 'Longball', 'Chipped', 'PassEndY', 'Zone', 'Length', 'Angle']","[91, 120, 124, 128, 36, 38, 217, 218]",True,329366.0,81.79500000000002,57.25600000000001,,,,,,,,,,,True,Maritimo,Famalicao,
2482690085.0,19.0,1.0,59.0,935,10.709999999999999,8.5,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,70484.0,,,,,,,,,,,25.0,Pelé,,Maritimo,Famalicao,
,,1.0,59.0,935,10.709999999999999,8.5,,,Carry,,,,,70484.0,5.3549999999999995,5.576,,,,,,,,,25.0,Pelé,False,Maritimo,Famalicao,-0.0014131300000000003
2482690099.0,20.0,2.0,1.0,935,5.3549999999999995,5.576,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'Angle', 'Zone', 'OppositeRelatedEvent', 'PassEndY', 'Longball', 'PassEndX', 'Offensive']","[91, 118, 120, 128, 36, 38, 215, 218]",True,70484.0,6.300000000000001,5.236000000000001,,,,,,,,,25.0,Pelé,False,Maritimo,Famalicao,
2482690101.0,20.0,2.0,1.0,264,93.45,64.19200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[91, 60]",True,335707.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482690215.0,23.0,2.0,18.0,935,21.419999999999998,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['PassEndY', 'ThrowIn', 'Angle', 'Length', 'Zone', 'PassEndX']","[91, 212, 36, 37, 216]",True,422248.0,35.910000000000004,14.076,,,,,,,,,6.0,Alexandre Penetra,False,Maritimo,Famalicao,
2482690599.0,31.0,2.0,20.0,935,41.160000000000004,15.64,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Successful,"['OppositeRelatedEvent', 'Zone', 'Defensive']","[197, 200]",False,408370.0,,,,,,,,,,,9.0,Álex Millán,,Maritimo,Famalicao,
2482695923.0,105.0,2.0,20.0,264,63.839999999999996,52.36000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Aerial,Unsuccessful,"['Offensive', 'Zone', 'OppositeRelatedEvent']","[198, 199]",False,137058.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482690609.0,32.0,2.0,20.0,935,41.685,15.504000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'LayOff', 'PassEndY', 'Zone', 'PassEndX', 'Angle']","[91, 118, 120, 29, 35, 38, 216, 218]",True,408370.0,38.64,13.260000000000002,,,,,,,,,9.0,Álex Millán,False,Maritimo,Famalicao,
2482690221.0,22.0,2.0,22.0,264,66.675,55.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,137128.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482690235.0,23.0,2.0,22.0,264,66.675,55.964,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'Length', 'PassEndX']","[91, 117, 30, 35, 38, 216, 218]",True,137128.0,50.295,46.376000000000005,,,,,,,,,,,False,Maritimo,Famalicao,-0.00441219
2482690265.0,24.0,2.0,24.0,264,49.56,46.104,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Zone', 'Length', 'Longball', 'PassEndX', 'PassEndY', 'Angle']","[91, 120, 124, 128, 36, 37, 217, 218]",True,422005.0,105.0,63.24,,,,,,,,,,,True,Maritimo,Famalicao,
2482690397.0,25.0,2.0,43.0,935,2.3100000000000005,33.11600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['GoalKick', 'PassEndY', 'Angle', 'PassEndX', 'Length', 'Zone']","[91, 117, 30, 36, 37, 215, 218]",True,400826.0,3.1500000000000004,40.93600000000001,,,,,,,,,31.0,Luiz Júnior,False,Maritimo,Famalicao,0.0
2482690429.0,26.0,2.0,45.0,935,3.1500000000000004,40.93600000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Zone', 'Length', 'Angle']","[91, 117, 30, 36, 37, 215, 218]",True,363299.0,12.18,63.444,,,,,,,,,4.0,Enea Mihaj,False,Maritimo,Famalicao,-0.0016144000000000002
,,2.0,45.0,935,12.18,63.444,,,Carry,,,,,401060.0,25.62,64.668,,,,,,,,,74.0,Francisco Moura,True,Maritimo,Famalicao,0.0006523799999999993
2482690449.0,27.0,2.0,48.0,935,25.62,64.668,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'PassEndX', 'Length', 'Angle', 'Zone']","[91, 117, 30, 36, 38, 216, 218]",True,401060.0,40.005,45.56,,,,,,,,,74.0,Francisco Moura,False,Maritimo,Famalicao,0.004243200000000001
2482690451.0,28.0,2.0,50.0,935,40.11000000000001,45.56,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,['Zone'],"[91, 69]",True,408370.0,,,,,,,,,,,9.0,Álex Millán,,Maritimo,Famalicao,
2482690475.0,26.0,2.0,52.0,264,63.839999999999996,9.588000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Angle', 'PassEndY', 'Zone', 'Length']","[91, 119, 117, 30, 36, 37, 216, 218]",True,101952.0,68.985,14.416,,,,,,,,,,,False,Maritimo,Famalicao,0.0
2482690477.0,27.0,2.0,54.0,264,68.985,14.416,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,361831.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482690485.0,28.0,2.0,55.0,264,73.92000000000002,6.188000000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Zone', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 36, 38, 217, 218]",True,361831.0,78.64500000000001,2.72,,,,,,,,,,,False,Maritimo,Famalicao,0.00634183
2482690517.0,30.0,2.0,57.0,264,77.7,0.136,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Length', 'Angle', 'PassEndX', 'PassEndY']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,101952.0,89.25,3.944,,,,,,,,,,,False,Maritimo,Famalicao,0.013629430000000001
2482690527.0,31.0,3.0,0.0,264,94.815,3.6720000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Offensive', 'Chipped', 'Angle', 'Length', 'PassEndX', 'RightFoot', 'OppositeRelatedEvent', 'PassEndY', 'Zone', 'Cross']","[91, 137, 124, 126, 36, 37, 217, 218]",True,361831.0,95.44500000000001,5.644000000000001,,,,,,,,,,,False,Maritimo,Famalicao,
2482690521.0,29.0,3.0,0.0,935,9.450000000000001,63.17200000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Clearance,Successful,"['OppositeRelatedEvent', 'Zone', 'BlockedCross']","[91, 59]",True,401060.0,,,,,,,,,,,74.0,Francisco Moura,,Maritimo,Famalicao,
2482690531.0,30.0,3.0,1.0,935,9.240000000000002,61.744,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Unsuccessful,"['OppositeRelatedEvent', 'Zone', 'MissLeft']",[122],False,401060.0,,,,,,,,,,,74.0,Francisco Moura,,Maritimo,Famalicao,
2482690543.0,32.0,3.0,1.0,264,95.76,6.256,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",CornerAwarded,Successful,"['MissRight', 'Zone', 'OppositeRelatedEvent']",[122],False,361831.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482690755.0,33.0,3.0,30.0,264,104.47500000000001,0.34,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['LeftFoot', 'PassEndY', 'Zone', 'PassEndX', 'CornerTaken', 'Length', 'Chipped', 'Angle', 'Longball', 'Cross']","[91, 119, 138, 124, 125, 31, 32, 34, 35, 37, 217, 218]",True,335707.0,95.44500000000001,34.68,,,,,,,,,,,True,Maritimo,Famalicao,0.21952771999999998
2482690759.0,34.0,3.0,33.0,264,95.44500000000001,34.68,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Successful,"['Zone', 'KeyPass']","[91, 123, 40, 46]",True,137058.0,,,,,,,,,,,,,,Maritimo,Famalicao,
2482690769.0,35.0,3.0,34.0,264,85.26,36.720000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",SavedShot,Successful,"['LowRight', 'BlockedX', 'LeftFoot', 'OutOfBoxCentre', 'Zone', 'Assisted', 'FromCorner', 'RelatedEventId', 'BlockedY', 'GoalMouthY', 'Blocked', 'GoalMouthZ', 'OppositeRelatedEvent']","[91, 10, 2, 5, 11, 13]",True,361831.0,,,34.0,137058.0,89.8,50.7,19.0,46.8,True,,,,,Maritimo,Famalicao,
2482690779.0,33.0,3.0,35.0,935,9.870000000000001,34.884,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Save,Successful,"['OutfielderBlock', 'OppositeRelatedEvent', 'Zone']","[91, 58]",True,380619.0,,,,,,,,,,,15.0,Riccieli,,Maritimo,Famalicao,
2482690831.0,36.0,3.0,36.0,264,81.79500000000002,23.732,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Angle', 'HeadPass', 'Zone', 'Length', 'PassEndX', 'PassEndY']","[91, 120, 29, 139, 36, 38, 217, 218]",True,101952.0,83.05499999999999,22.983999999999998,,,,,,,,,,,False,Maritimo,Famalicao,
