awayTeam,away_score,blockedX,blockedY,eventType,expectedGoals,expectedGoalsOnTarget,firstName,goalCrossedY,goalCrossedZ,homeTeam,home_score,id,isBlocked,isOnTarget,isOwnGoal,lastName,min,minAdded,name,onGoalShot,period,playerId,playerName,round,shotType,situation,teamId,x,y
Pacos de Ferreira,0.0,83.2733009712,36.5925,AttemptSaved,0.032924533,,Darwin,34.4575,1.219999994,Benfica,2.0,2372664499.0,1.0,1.0,0.0,Nunez,77.0,,Benfica,"{'x': 0.8789682539682532, 'y': 0.32275132116402117, 'zoomRatio': 1}",SecondHalf,950561.0,Darwin Nunez,17.0,RightFoot,RegularPlay,9772.0,78.31796460333112,37.05
Pacos de Ferreira,0.0,94.9649122793,37.2025,Miss,0.060618907,,Alex,5.1818009509000005,0.9824210478,Benfica,2.0,2372664603.0,0.0,0.0,0.0,Grimaldo,78.0,,Benfica,"{'x': 2, 'y': 0.034090299887448425, 'zoomRatio': 0.13116711400180472}",SecondHalf,288406.0,Alex Grimaldo,17.0,RightFoot,RegularPlay,9772.0,90.8000030517578,47.71413798622574
Pacos de Ferreira,0.0,,,Miss,0.028675646,,Joao,45.8924840726,0.2696842092,Benfica,2.0,2372664689.0,0.0,0.0,0.0,Mário,78.0,,Benfica,"{'x': 0, 'y': 0.02267686107912022, 'zoomRatio': 0.3178478084918382}",SecondHalf,300916.0,Joao Mário,17.0,RightFoot,FromCorner,9772.0,83.49854540806557,27.950714285
Pacos de Ferreira,0.0,,,Miss,0.091038406,,Darwin,34.305,4.341379316,Benfica,2.0,2372664889.0,0.0,0.0,0.0,Nunez,79.0,,Benfica,"{'x': 0.9524204563744122, 'y': 0.6772486772486772, 'zoomRatio': 0.5896743439499079}",SecondHalf,950561.0,Darwin Nunez,17.0,RightFoot,RegularPlay,9772.0,99.87930889824588,49.39566771851287
Pacos de Ferreira,0.0,103.6724137932,33.8475,AttemptSaved,0.18034744,0.0953,Joao,32.3225,0.9759999952,Benfica,2.0,2372665369.0,0.0,1.0,0.0,Mário,81.0,,Benfica,"{'x': 1.4437830687830693, 'y': 0.2582010569312169, 'zoomRatio': 1}",SecondHalf,300916.0,Joao Mário,17.0,RightFoot,RegularPlay,9772.0,91.0,35.143750000000004
Pacos de Ferreira,0.0,,,Post,0.82823545,,Darwin,32.70374999999999,2.497,Benfica,2.0,2372666803.0,0.0,1.0,0.0,Nunez,87.0,,Benfica,"{'x': 1.3429232804232825, 'y': 0.6605820105820105, 'zoomRatio': 1}",SecondHalf,950561.0,Darwin Nunez,17.0,RightFoot,RegularPlay,9772.0,102.72413648424586,36.13499941825867
Pacos de Ferreira,0.0,,,Miss,0.033525884,,Paulo,40.46952381,5.0626206976,Benfica,2.0,2372667067.0,0.0,0.0,0.0,Bernardo,88.0,,Benfica,"{'x': 0.13454380557713597, 'y': 0.6772486772486772, 'zoomRatio': 0.5056669564863117}",SecondHalf,1050831.0,Paulo Bernardo,17.0,RightFoot,FromCorner,9772.0,81.69660537933113,46.1727388498
Pacos de Ferreira,0.0,,,Miss,0.3739237,,Darwin,38.452380954,1.0723157842,Benfica,2.0,2372668087.0,0.0,0.0,0.0,Nunez,90.0,1.0,Benfica,"{'x': 0, 'y': 0.24084097818194022, 'zoomRatio': 0.8489839569105302}",SecondHalf,950561.0,Darwin Nunez,17.0,LeftFoot,RegularPlay,9772.0,93.4000015258789,44.0708280208
Arouca,0.0,103.2931034484,34.0,AttemptSaved,0.081936896,0.1317,Gian-Luca,33.161249999999995,2.1959999892,Benfica,0.0,2318712427.0,0.0,1.0,0.0,Waldschmidt,13.0,,Benfica,"{'x': 1.2218915343915355, 'y': 0.5809523780952381, 'zoomRatio': 1}",FirstHalf,540073.0,Gian-Luca Waldschmidt,2.0,LeftFoot,FreeKick,9772.0,85.38676306712412,23.9291719792
Arouca,0.0,,,Post,0.6995871,,,37.684,1.829999991,Benfica,0.0,2318712463.0,0.0,1.0,0.0,Éverton,13.0,,Benfica,"{'x': 0.025396825396826084, 'y': 0.48412698174603175, 'zoomRatio': 1}",FirstHalf,528348.0,Éverton,2.0,Header,SetPiece,9772.0,102.24999855324586,35.90625
Arouca,0.0,,,Miss,0.031160206,,,32.39875,3.7417931072,Benfica,0.0,2318728265.0,0.0,0.0,0.0,Éverton,29.0,,Benfica,"{'x': 1.2898194564412833, 'y': 0.6772486772486772, 'zoomRatio': 0.6841639627466359}",FirstHalf,528348.0,Éverton,2.0,RightFoot,RegularPlay,9772.0,81.92184466079999,48.20458705358713
Arouca,0.0,,,Goal,0.78386426,0.9705,Gian-Luca,35.448750000000004,0.1219999994,Benfica,1.0,2318737267.0,0.0,1.0,0.0,Waldschmidt,38.0,,Benfica,"{'x': 0.6167328042328032, 'y': 0.032275132116402115, 'zoomRatio': 1}",FirstHalf,540073.0,Gian-Luca Waldschmidt,2.0,LeftFoot,FastBreak,9772.0,100.63793248175412,35.525000000000006
Arouca,0.0,,,Goal,0.3630559,0.8578,Roman,36.66875,0.5714736814000001,Benfica,2.0,2318742999.0,0.0,1.0,0.0,Yaremchuk,43.0,,Benfica,"{'x': 0.29398148148148073, 'y': 0.15118351359788362, 'zoomRatio': 1}",FirstHalf,643690.0,Roman Yaremchuk,2.0,LeftFoot,RegularPlay,9772.0,97.9561388780607,32.62750058174133
Arouca,0.0,102.9137931036,34.533750000000005,AttemptSaved,0.03509152,0.2676,Eugeni,31.48375,0.0385263156,Benfica,2.0,2318749553.0,0.0,1.0,0.0,Valderrama,45.0,5.0,Arouca,"{'x': 1.665674603174603, 'y': 0.010192146984126984, 'zoomRatio': 1}",FirstHalf,315898.0,Eugeni Valderrama,2.0,RightFoot,RegularPlay,158085.0,80.34514391353443,33.313748836517334
Arouca,0.0,101.206896552,28.539047618000005,AttemptSaved,0.09588513,,,32.39875,1.219999994,Benfica,2.0,2318750147.0,1.0,1.0,0.0,Andre,45.0,6.0,Arouca,"{'x': 1.4236111111111112, 'y': 0.32275132116402117, 'zoomRatio': 1}",FirstHalf,919919.0,Andre,2.0,RightFoot,FromCorner,158085.0,100.54310634250828,27.698572069232448
Arouca,0.0,,,Miss,0.026138425,,Joao,30.05190476,3.7417931072,Benfica,2.0,2318772373.0,0.0,0.0,0.0,Mário,51.0,,Benfica,"{'x': 1.714588488015749, 'y': 0.6772486772486772, 'zoomRatio': 0.6841639627466359}",SecondHalf,300916.0,Joao Mário,2.0,RightFoot,RegularPlay,9772.0,74.26358879826887,42.35062455892563
Arouca,0.0,,,Miss,0.27545893,,Gil,43.7205095493,1.2456842044,Benfica,2.0,2318784517.0,0.0,0.0,0.0,Dias,63.0,,Benfica,"{'x': -2.220446049250313e-16, 'y': 0.1281500931697253, 'zoomRatio': 0.38886850332575484}",SecondHalf,566467.0,Gil Dias,2.0,LeftFoot,RegularPlay,9772.0,100.92241089949172,39.545001283464885
Arouca,0.0,,,Miss,0.13237137,,Andre,38.200238097,4.0980689704,Benfica,2.0,2318785663.0,0.0,0.0,0.0,Bukia,65.0,,Arouca,"{'x': 0.30586680803346866, 'y': 0.6772486772486772, 'zoomRatio': 0.6246844595566009}",SecondHalf,687288.0,Andre Bukia,2.0,LeftFoot,RegularPlay,158085.0,90.8000030517578,40.97380824153511
Arouca,0.0,,,Miss,0.13340539,,Rafa,36.97375,4.940965524800001,Benfica,2.0,2318786493.0,0.0,0.0,0.0,Silva,66.0,,Benfica,"{'x': 0.5923937854130694, 'y': 0.6772486772486772, 'zoomRatio': 0.518117357255518}",SecondHalf,477023.0,Rafa Silva,2.0,RightFoot,RegularPlay,9772.0,94.5789458945607,25.99624955892563
Arouca,0.0,98.2456140347,34.68625,AttemptSaved,0.39066774,0.5473,Rafa,34.7625,1.059473679,Benfica,2.0,2318788105.0,0.0,1.0,0.0,Silva,68.0,,Benfica,"{'x': 0.7982804232804226, 'y': 0.28028404206349206, 'zoomRatio': 1}",SecondHalf,477023.0,Rafa Silva,2.0,RightFoot,FastBreak,9772.0,91.0999984741211,36.2875
Arouca,0.0,,,Miss,0.3823242,,Gian-Luca,35.448750000000004,4.5846896616,Benfica,2.0,2318788119.0,0.0,0.0,0.0,Waldschmidt,68.0,,Benfica,"{'x': 0.7859911807374962, 'y': 0.6772486772486772, 'zoomRatio': 0.5583802152284811}",SecondHalf,540073.0,Gian-Luca Waldschmidt,2.0,LeftFoot,FastBreak,9772.0,98.6315818917786,39.88118983576756
Arouca,0.0,,,Miss,0.082353204,,Goncalo,45.05171974100001,0.9824210478,Benfica,2.0,2318792889.0,0.0,0.0,0.0,Ramos,73.0,,Benfica,"{'x': -2.220446049250313e-16, 'y': 0.08889304749154872, 'zoomRatio': 0.34202821719925103}",SecondHalf,940087.0,Goncalo Ramos,2.0,Header,FromCorner,9772.0,98.24561550703928,37.744
Arouca,0.0,,,Miss,0.092502266,,Adel,29.127380951,0.5329473658000001,Benfica,2.0,2318796341.0,0.0,0.0,0.0,Taarabt,76.0,,Benfica,"{'x': 2, 'y': 0.10937595581361444, 'zoomRatio': 0.7757634984363826}",SecondHalf,47394.0,Adel Taarabt,2.0,LeftFoot,RegularPlay,9772.0,89.0,33.61875
Arouca,0.0,,,Miss,0.0367908179999999,,Goncalo,26.942142857,1.8749473592,Benfica,2.0,2318797253.0,0.0,0.0,0.0,Ramos,77.0,,Benfica,"{'x': 2, 'y': 0.2656539118335057, 'zoomRatio': 0.5355733225273642}",SecondHalf,940087.0,Goncalo Ramos,2.0,Header,RegularPlay,9772.0,94.0,29.295474906535112
Arouca,0.0,,,Miss,0.15197298,,Gil,46.9434394871,0.3595789456,Benfica,2.0,2318798135.0,0.0,0.0,0.0,Dias,79.0,,Benfica,"{'x': 0, 'y': 0.02778078778506844, 'zoomRatio': 0.2920398402424113}",SecondHalf,566467.0,Gil Dias,2.0,RightFoot,RegularPlay,9772.0,99.3070175438,21.617070601843565
