shirtNo,team,playerId,name,minutes,prog_passes,prog_carries,defensive_actions,suc_take_ons,total_passes,suc_passes,take_ons,xt,final_third_entries,final_third_passes,penalty_box_entries,penalty_box_passes,key_passes
6.0,Tondela,380894.0,Pedro Augusto,1991.0,47.0,36.0,256.0,20.0,796.0,642.0,25.0,0.0706774399999993,12.0,45.0,0.0,8.0,0.0
6.0,Vitoria-de-Guimaraes,400844.0,Abdul Mumin,2277.0,65.0,48.0,278.0,8.0,1183.0,999.0,15.0,1.3792577799999994,2.0,72.0,0.0,0.0,0.0
6.0,Vizela,36137.0,Claudemir,2010.0,117.0,45.0,228.0,11.0,1255.0,1019.0,16.0,2.91910799,12.0,105.0,1.0,33.0,5.0
7.0,Arouca,351703.0,André Silva,2630.0,37.0,87.0,127.0,35.0,740.0,504.0,59.0,0.9213090299999994,41.0,41.0,18.0,12.0,9.0
7.0,Belenenses-SAD,235920.0,Pedro Nuno,1418.0,39.0,41.0,97.0,6.0,454.0,341.0,14.0,1.4653708199999995,23.0,42.0,2.0,19.0,4.0
7.0,Benfica,146760.0,Éverton,1605.0,86.0,158.0,140.0,34.0,686.0,523.0,85.0,5.194694010000001,51.0,43.0,22.0,47.0,7.0
7.0,Boavista,280768.0,Kenji Gorré,1666.0,29.0,120.0,116.0,39.0,426.0,313.0,108.0,2.37498889,41.0,18.0,31.0,14.0,11.0
7.0,Estoril,347858.0,Jordi Mboula,968.0,18.0,49.0,52.0,13.0,213.0,154.0,27.0,1.01580526,14.0,7.0,14.0,15.0,7.0
7.0,Estoril,421894.0,Chiquinho,844.0,14.0,47.0,69.0,21.0,164.0,92.0,42.0,0.8144297899999998,16.0,6.0,12.0,8.0,0.0
7.0,Famalicao,119622.0,Ivo Rodrigues,1871.0,108.0,148.0,179.0,39.0,882.0,646.0,89.0,5.1972821,49.0,50.0,12.0,36.0,21.0
7.0,Gil-Vicente,345380.0,Bilel Aouacheria,644.0,13.0,41.0,50.0,13.0,237.0,168.0,28.0,0.5390027699999999,15.0,8.0,5.0,6.0,2.0
7.0,Maritimo,361831.0,André Vidigal,2159.0,44.0,131.0,168.0,38.0,590.0,433.0,88.0,1.70650358,46.0,24.0,18.0,22.0,5.0
7.0,Moreirense,325220.0,Walterson,1431.0,35.0,76.0,167.0,26.0,448.0,286.0,70.0,0.8201109799999999,31.0,22.0,6.0,17.0,2.0
7.0,Pacos-de-Ferreira,343089.0,Hélder Ferreira,1631.0,61.0,55.0,132.0,14.0,689.0,482.0,29.0,1.88506382,16.0,35.0,7.0,21.0,11.0
7.0,Portimonense,342697.0,Ewerton,734.0,22.0,22.0,89.0,5.0,364.0,301.0,10.0,0.0981556599999998,6.0,26.0,0.0,2.0,2.0
7.0,Porto,377168.0,Luis Díaz,1504.0,47.0,160.0,98.0,46.0,667.0,535.0,79.0,2.54484495,39.0,30.0,56.0,24.0,18.0
7.0,Santa-Clara,281935.0,Allano,1140.0,31.0,84.0,129.0,27.0,445.0,325.0,55.0,1.05757522,25.0,25.0,10.0,12.0,3.0
7.0,Sporting,342699.0,Bruno Tabata,398.0,19.0,26.0,53.0,14.0,229.0,174.0,19.0,1.97766431,9.0,16.0,1.0,14.0,5.0
7.0,Tondela,91775.0,Salvador Agra,2624.0,105.0,136.0,171.0,22.0,941.0,615.0,56.0,5.58013561,38.0,49.0,15.0,53.0,12.0
7.0,Vitoria-de-Guimaraes,5964.0,Ricardo Quaresma,981.0,56.0,62.0,46.0,12.0,416.0,283.0,36.0,3.8170169,18.0,15.0,10.0,38.0,7.0
7.0,Vizela,361919.0,Osama Rashid,583.0,22.0,12.0,46.0,2.0,288.0,217.0,3.0,0.6976079900000002,3.0,30.0,1.0,3.0,0.0
8.0,Arouca,96271.0,Arsénio,2193.0,74.0,79.0,149.0,28.0,729.0,514.0,57.0,2.9493857500000003,27.0,42.0,7.0,36.0,8.0
8.0,Belenenses-SAD,386978.0,Yaya,1554.0,52.0,30.0,204.0,13.0,744.0,608.0,19.0,0.4720547500000003,6.0,52.0,0.0,5.0,2.0
8.0,Boavista,295756.0,Gustavo Sauer,2312.0,94.0,101.0,186.0,46.0,705.0,507.0,88.0,6.0945019700000005,53.0,61.0,9.0,64.0,17.0
8.0,Braga,381792.0,Al Musrati,2567.0,164.0,65.0,356.0,7.0,1748.0,1472.0,15.0,2.1983858200000004,23.0,196.0,1.0,16.0,8.0
8.0,Estoril,421896.0,Luciano Vega,7.0,0.0,0.0,4.0,1.0,5.0,3.0,2.0,-0.0024483499999999,0.0,0.0,0.0,0.0,0.0
8.0,Estoril,426923.0,Rodrigo Valente,40.0,0.0,1.0,4.0,1.0,17.0,13.0,1.0,0.0768707799999999,0.0,1.0,1.0,1.0,0.0
8.0,Famalicao,373108.0,Pedro Brazão,466.0,14.0,16.0,35.0,8.0,108.0,78.0,21.0,0.2167533599999997,9.0,12.0,0.0,3.0,0.0
8.0,Gil-Vicente,322643.0,Pedrinho,2887.0,220.0,89.0,342.0,27.0,1859.0,1446.0,45.0,9.0851188,29.0,238.0,1.0,77.0,10.0
8.0,Maritimo,357533.0,Rafik Guitane,1909.0,61.0,160.0,129.0,72.0,701.0,550.0,161.0,1.6488531700000004,51.0,55.0,22.0,24.0,7.0
8.0,Moreirense,370018.0,Ibrahima Camará,1703.0,85.0,53.0,187.0,24.0,765.0,541.0,42.0,3.52049221,15.0,89.0,5.0,23.0,4.0
8.0,Pacos-de-Ferreira,401257.0,Abbas Ibrahim,177.0,5.0,4.0,28.0,2.0,94.0,84.0,3.0,0.0002084899999996,0.0,4.0,0.0,0.0,0.0
8.0,Portimonense,317741.0,Lucas Fernandes,1493.0,57.0,72.0,126.0,15.0,739.0,641.0,31.0,2.9384145,29.0,69.0,3.0,18.0,3.0
8.0,Porto,114301.0,Mateus Uribe,1999.0,109.0,32.0,309.0,16.0,1339.0,1148.0,20.0,2.54190669,14.0,141.0,3.0,21.0,3.0
