id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,relatedEventId,relatedPlayerId,goalMouthZ,goalMouthY,isGoal,isShot,cardType,blockedX,blockedY,isOwnGoal,shirtNo,name,progressive,homeTeam,awayTeam,xT
,,1.0,16.0,107,34.964999999999996,63.71600000000001,,,Carry,,,,,351703.0,38.325,63.17200000000001,,,,,,,,,,,17.0,André Silva,False,Benfica,Vitoria de Guimaraes,0.0
2521830281.0,13.0,1.0,18.0,107,38.325,63.17200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Zone', 'PassEndX', 'Length', 'StandingSave', 'LayOff', 'PassEndY']","[91, 117, 30, 35, 38, 216, 218]",True,351703.0,37.800000000000004,59.976000000000006,,,,,,,,,,,17.0,André Silva,False,Benfica,Vitoria de Guimaraes,0.0
2521830313.0,14.0,1.0,19.0,107,37.800000000000004,59.84,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Length', 'Zone', 'StandingSave', 'Angle', 'PassEndY']","[91, 117, 30, 35, 37, 215, 218]",True,135638.0,34.02,62.49200000000001,,,,,,,,,,,10.0,Tiago Silva,False,Benfica,Vitoria de Guimaraes,-0.0014860800000000007
,,1.0,19.0,107,34.02,62.49200000000001,,,Carry,,,,,430413.0,34.02,64.19200000000001,,,,,,,,,,,20.0,Nélson da Luz,False,Benfica,Vitoria de Guimaraes,0.0
2521830323.0,15.0,1.0,21.0,107,34.02,64.19200000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Zone', 'Angle', 'Length', 'PassEndX', 'StandingSave', 'PassEndY']","[91, 118, 120, 29, 35, 215, 218]",True,430413.0,31.080000000000002,64.19200000000001,,,,,,,,,,,20.0,Nélson da Luz,False,Benfica,Vitoria de Guimaraes,
2521830347.0,21.0,1.0,22.0,299,71.82000000000001,4.148,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,395802.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521830379.0,22.0,1.0,22.0,299,71.82000000000001,4.148,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'PassEndX', 'StandingSave', 'Zone', 'PassEndY', 'Angle']","[91, 119, 117, 30, 205, 35, 37, 217, 218]",True,395802.0,70.56,4.964,,,,,,,,,,,,,False,Benfica,Vitoria de Guimaraes,0.0
2521830389.0,23.0,1.0,23.0,299,70.455,5.236000000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,125476.0,,,,,,,,,,,,,,,,Benfica,Vitoria de Guimaraes,
2521830383.0,16.0,1.0,24.0,107,34.125,58.276,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallRecovery,Successful,[],[93],False,135638.0,,,,,,,,,,,,,10.0,Tiago Silva,,Benfica,Vitoria de Guimaraes,
,,1.0,24.0,107,34.125,58.276,,,Carry,,,,,135638.0,32.550000000000004,50.660000000000004,,,,,,,,,,,10.0,Tiago Silva,False,Benfica,Vitoria de Guimaraes,0.0005097200000000017
