id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,goalMouthZ,goalMouthY,isShot,isGoal,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType,shirtNo,name,progressive,homeTeam,awayTeam,xT
2555268249.0,29.0,1.0,40.0,288,56.7,63.03600000000001,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Length', 'PassEndY', 'Offensive', 'OppositeRelatedEvent', 'Angle', 'StandingSave', 'PassEndX', 'Zone']","[91, 120, 29, 35, 38, 216, 218]",True,117980.0,54.39,62.56,,,,,,,,,,,,False,Braga,Pacos de Ferreira,
2555268319.0,16.0,1.0,40.0,786,51.660000000000004,3.5360000000000005,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",BlockedPass,Successful,"['OppositeRelatedEvent', 'Defensive', 'Zone', 'StandingSave']","[91, 60]",True,455733.0,,,,,,,,,,,,41.0,Mauro Couto,,Braga,Pacos de Ferreira,
2555268467.0,31.0,1.0,51.0,288,55.755,68.0,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'ThrowIn', 'Zone', 'Length', 'Angle', 'PassEndY']","[91, 212, 35, 38, 216]",True,439440.0,45.885000000000005,62.83200000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.002252519999999999
2555268493.0,32.0,1.0,55.0,288,46.515,59.636,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'PassEndX', 'Angle', 'Zone', 'PassEndY']","[91, 119, 117, 30, 36, 38, 216, 218]",True,81928.0,54.285000000000004,46.71600000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0043725199999999995
2555268529.0,33.0,1.0,57.0,288,50.505,44.948,1.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'Angle', 'PassEndY', 'StandingSave', 'PassEndX', 'Length']","[91, 117, 30, 35, 38, 216, 218]",True,381792.0,42.105000000000004,23.868000000000002,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.00159954
2555268655.0,34.0,2.0,1.0,288,46.62,20.672,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsidePass,Successful,"['PassEndY', 'PlayerCaughtOffside', 'PassEndX', 'Zone', 'Longball', 'StandingSave']","[91, 217]",True,83475.0,91.245,14.212,,,,,,,,,,,,,Braga,Pacos de Ferreira,
2555268675.0,20.0,2.0,1.0,786,1.9949999999999999,50.388,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideProvoked,Successful,[],[62],False,110341.0,,,,,,,,,,,,15.0,Juan Delgado,,Braga,Pacos de Ferreira,
2555269509.0,22.0,2.0,39.0,786,16.485,49.57200000000001,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Unsuccessful,"['Chipped', 'Zone', 'Length', 'PassEndY', 'FreekickTaken', 'PassEndX', 'IndirectFreekickTaken', 'Longball', 'Angle', 'StandingSave']","[91, 120, 124, 128, 133, 36, 37, 217, 218]",True,396588.0,82.95,68.0,,,,,,,,,,24.0,Zé Oliveira,True,Braga,Pacos de Ferreira,
2555269655.0,38.0,2.0,50.0,288,22.155,0.0,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'Zone', 'PassEndY', 'ThrowIn', 'Length', 'Angle']","[91, 212, 35, 37, 215]",True,384566.0,10.920000000000002,7.956,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.0006523799999999993
2555269767.0,39.0,2.0,53.0,288,10.920000000000002,8.704,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'Length', 'PassEndY', 'Angle', 'StandingSave']","[91, 117, 30, 35, 37, 215, 218]",True,83475.0,5.3549999999999995,27.472,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0006246700000000008
2555269817.0,40.0,2.0,56.0,288,9.975,35.224000000000004,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndY', 'PassEndX', 'Length', 'Angle', 'StandingSave']","[91, 117, 30, 36, 37, 215, 218]",True,143021.0,16.17,51.00000000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.002041330000000001
2555279655.0,11034.0,2.0,,288,91.245,14.212,2.0,"{'value': 1, 'displayName': 'FirstHalf'}",OffsideGiven,Unsuccessful,[],[61],False,444806.0,,,,,,,,,,,,,,,Braga,Pacos de Ferreira,
2555269845.0,41.0,3.0,0.0,288,25.305000000000003,51.272000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 117, 30, 36, 38, 215, 218]",True,422882.0,32.655,44.47200000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0016808000000000014
2555269907.0,42.0,3.0,3.0,288,32.655,41.208000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'PassEndX', 'Angle', 'Zone', 'StandingSave']","[91, 117, 30, 36, 38, 216, 218]",True,81928.0,36.12,18.836000000000002,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0013679799999999995
2555269985.0,43.0,3.0,6.0,288,41.265,17.34,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Zone', 'PassEndX', 'PassEndY', 'Length', 'StandingSave', 'Angle']","[91, 119, 117, 30, 36, 38, 216, 218]",True,83475.0,59.43000000000001,1.972,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0020442199999999994
2555270093.0,44.0,3.0,10.0,288,59.535000000000004,7.004000000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Angle', 'Length', 'StandingSave', 'PassEndX', 'PassEndY', 'Zone']","[91, 119, 117, 30, 205, 36, 37, 217, 218]",True,384566.0,70.56,17.544,,,,,,,,,,,,True,Braga,Pacos de Ferreira,0.009386440000000003
2555270103.0,45.0,3.0,11.0,288,74.55,18.496000000000002,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Dispossessed,Successful,"['Offensive', 'OppositeRelatedEvent', 'Zone']","[91, 70]",True,127130.0,,,,,,,,,,,,,,,Braga,Pacos de Ferreira,
2555270081.0,24.0,3.0,11.0,786,30.450000000000003,49.504000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Tackle,Successful,"['OppositeRelatedEvent', 'StandingSave', 'Defensive', 'Zone']","[91, 143]",True,422245.0,,,,,,,,,,,,26.0,Rui Pires,,Braga,Pacos de Ferreira,
2556436145.0,826.0,3.0,12.0,786,39.480000000000004,46.03600000000001,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",BallTouch,Unsuccessful,"['Zone', 'StandingSave']","[91, 69]",True,431684.0,,,,,,,,,,,,18.0,Tiago,,Braga,Pacos de Ferreira,
2555270207.0,46.0,3.0,15.0,288,59.22,37.332,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'PassEndY', 'Angle', 'StandingSave', 'Length', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,81928.0,64.89,63.03600000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.000555319999999998
2555270255.0,47.0,3.0,20.0,288,71.19,61.336000000000006,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndX', 'StandingSave', 'Zone', 'Angle', 'Length', 'PassEndY']","[91, 119, 117, 30, 35, 38, 216, 218]",True,439440.0,61.32,58.61600000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,-0.0025178200000000005
2555270315.0,48.0,3.0,22.0,288,60.900000000000006,60.248,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['PassEndY', 'Length', 'Zone', 'PassEndX', 'StandingSave', 'Angle']","[91, 119, 117, 30, 35, 38, 216, 218]",True,117980.0,55.86000000000001,54.808,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.001382170000000002
2555270405.0,49.0,3.0,26.0,288,56.49,47.736000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Length', 'Angle', 'PassEndX', 'Zone', 'PassEndY']","[91, 119, 117, 30, 35, 38, 216, 218]",True,81928.0,53.655,28.900000000000002,,,,,,,,,,,,False,Braga,Pacos de Ferreira,3.931999999999894e-05
2555270469.0,50.0,3.0,30.0,288,60.69,22.916000000000004,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['Length', 'Angle', 'PassEndX', 'StandingSave', 'PassEndY', 'Zone']","[91, 119, 117, 30, 36, 37, 216, 218]",True,83475.0,63.839999999999996,28.424,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.0031147400000000013
2555270549.0,51.0,3.0,32.0,288,63.945,28.696000000000005,3.0,"{'value': 1, 'displayName': 'FirstHalf'}",Pass,Successful,"['StandingSave', 'Chipped', 'Angle', 'Length', 'PassEndY', 'Zone', 'PassEndX', 'Longball']","[91, 119, 117, 124, 127, 205, 36, 37, 217, 218]",True,381792.0,82.635,62.83200000000001,,,,,,,,,,,,False,Braga,Pacos de Ferreira,0.007592419999999999
